Short_name,DCA1,DCA2,Dataset,Species,Specialization
PisMir,-1.4587448103290093,-0.5884146565308973,Pasti Kveten,Pisaura mirabilis,0
PocJun,-0.8203283226949712,1.4393035253668658,Pasti Kveten,Pocadicnemis juncea,1
PocPum,-0.8185244697748034,-1.3304020333190154,Pasti Kveten,Pocadicnemis pumila ,1
SilEle,0.6666354647734467,0.13372589187075734,Pasti Kveten,Silometopus elegans,2
SinCor,-1.2786893135869188,-1.0349520050516952,Pasti Kveten,Sintula corniger,1
TalExp,0.3830648300417292,1.4224738973866695,Pasti Kveten,Tallusia experta,2
TarSet,-2.311833900641151,1.824448787305616,Pasti Kveten,Taranucnus setosus,2
TenTen,0.27723984644408306,-1.7530698587098918,Pasti Kveten,Tenuiphantes tenuis,0
ThaStr,0.44705937245202043,-1.1604666228528597,Pasti Kveten,Thanatus striatus,1
TriTho,0.20327036018025235,-0.9293768425342627,Pasti Kveten,Trichopternoides thorelli,2
TroSpi,0.7051287124112258,0.4722522831447207,Pasti Kveten,Trochosa spinipalpis,2
TroTer,-1.6013805866564512,0.9073057117840007,Pasti Kveten,Trochosa terricola,1
WalAlt,-1.7765581916630953,-1.0704656077199362,Pasti Kveten,Walckenaeria alticeps,2
WalCus,1.2418063968280273,2.6112939413557332,Pasti Kveten,Walckenaeria cuspidata,1
WalDys,0.21464453760915791,2.104845068331369,Pasti Kveten,Walckenaeria dysderoides,1
WalKoc,-0.5722705596675424,-1.2152593781043217,Pasti Kveten,Walckenaeria kochi,2
WalObt,1.400316877167405,-0.6217969665077964,Pasti Kveten,Walckenaeria obtusa,1
WalVig,1.4532942962042235,-1.4481055466086954,Pasti Kveten,Walckenaeria vigilax,2
XysBif,0.13079774877997763,-0.0653798423288865,Pasti Kveten,Xysticus bifasciatus,1
XysCri,0.5104431653116295,-1.3433362183917978,Pasti Kveten,Xysticus cristatus,1
XysErr,0.27723984644408306,-1.7530698587098918,Pasti Kveten,Xysticus erraticus,0
XysKoc,2.0578276974412804,-1.9286230059956242,Pasti Kveten,Xysticus kochi,0
XysUlm,0.6413084769732977,-1.9955891386701579,Pasti Kveten,Xysticus ulmi,2
ZelLat,-1.361046353232816,-0.971823446938785,Pasti Kveten,Zelotes latreilei,0
ZelPet,-2.1948807010618587,2.0912984127543996,Pasti Kveten,Zelotes petrensis,0
ZelSub,-3.238732884597874,2.049497889376507,Pasti Kveten,Zelotes subterraneus,1
ZorSpi,-1.363276715048376,-1.7611493008381438,Pasti Kveten,Zora spinimana,1
