Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
ZLM_B,Smyk Kveten,2,3,1,0,4,6
ZMB_A,Smyk Kveten,5,3,1,0,4,9
ZMB_B,Smyk Kveten,1,0,1,0,1,2
ZMK_A,Smyk Kveten,10,0,1,0,1,11
ZMK_B,Smyk Kveten,1,3,1,0,4,5
BBN_A,Smyk Cerven,3,0,0,0,0,3
BBN_B,Smyk Cerven,5,0,0,0,0,5
BHN_A,Smyk Cerven,2,1,1,0,2,4
BHN_B,Smyk Cerven,0,0,1,0,1,1
BZN_A,Smyk Cerven,2,1,1,0,2,4
BZN_B,Smyk Cerven,2,2,2,0,4,6
BRK_A,Smyk Cerven,3,1,1,0,2,5
BRK_B,Smyk Cerven,4,2,1,0,3,7
DVR_A,Smyk Cerven,6,1,3,0,4,10
DVR_B,Smyk Cerven,5,0,0,0,0,5
HLN_A,Smyk Cerven,4,0,2,0,2,6
HLN_B,Smyk Cerven,1,1,2,0,3,4
HVZ_A,Smyk Cerven,5,0,0,0,0,5
HVZ_B,Smyk Cerven,4,1,1,0,2,6
HRD_A,Smyk Cerven,5,0,0,0,0,5
HRD_B,Smyk Cerven,4,1,1,0,2,6
HRC_A,Smyk Cerven,4,0,3,0,3,7
HRC_B,Smyk Cerven,1,0,0,0,0,1
CHV_A,Smyk Cerven,4,1,1,0,2,6
CHV_B,Smyk Cerven,4,2,1,0,3,7
KLS_A,Smyk Cerven,4,1,1,0,2,6
KLS_B,Smyk Cerven,1,0,2,0,2,3
KCD_A,Smyk Cerven,8,1,0,0,1,9
KCD_B,Smyk Cerven,2,0,1,0,1,3
KKL_A,Smyk Cerven,3,0,1,0,1,4
KKL_B,Smyk Cerven,6,1,2,0,3,9
LCL_A,Smyk Cerven,2,1,2,0,3,5
LCL_B,Smyk Cerven,1,0,2,0,2,3
LVJ_A,Smyk Cerven,2,1,0,0,1,3
LVJ_B,Smyk Cerven,4,0,2,0,2,6
NSV_A,Smyk Cerven,5,2,1,0,3,8
NSV_B,Smyk Cerven,0,0,0,0,0,0
OKL_A,Smyk Cerven,3,1,0,0,1,4
OKL_B,Smyk Cerven,4,0,1,0,1,5
NVS_A,Smyk Cerven,0,0,0,0,0,0
NVS_B,Smyk Cerven,0,0,0,0,0,0
PRZ_A,Smyk Cerven,0,0,0,0,0,0
PRZ_B,Smyk Cerven,2,0,0,0,0,2
PKV_A,Smyk Cerven,5,0,2,0,2,7
PKV_B,Smyk Cerven,1,1,0,0,1,2
RTR_A,Smyk Cerven,4,0,1,0,1,5
RTR_B,Smyk Cerven,1,1,0,0,1,2
STR_A,Smyk Cerven,2,2,2,0,4,6
STR_B,Smyk Cerven,4,1,1,0,2,6
SVD_A,Smyk Cerven,3,1,1,0,2,5
SVD_B,Smyk Cerven,7,0,2,0,2,9
SFR_A,Smyk Cerven,4,0,0,0,0,4
SFR_B,Smyk Cerven,4,2,0,0,2,6
VLS_A,Smyk Cerven,6,1,2,0,3,9
VLS_B,Smyk Cerven,3,0,1,0,1,4
VRJ_A,Smyk Cerven,3,0,1,0,1,4
VRJ_B,Smyk Cerven,3,2,1,0,3,6
ZHJ_A,Smyk Cerven,4,1,2,0,3,7
ZHJ_B,Smyk Cerven,5,1,1,0,2,7
ZLM_A,Smyk Cerven,6,0,2,0,2,8
ZLM_B,Smyk Cerven,4,2,1,0,3,7
ZMB_A,Smyk Cerven,2,1,1,1,3,5
ZMB_B,Smyk Cerven,1,1,2,0,3,4
ZMK_A,Smyk Cerven,4,1,0,0,1,5
ZMK_B,Smyk Cerven,3,1,0,0,1,4
BBN_A,Pasti Kveten,0,3,6,0,9,9
BBN_B,Pasti Kveten,2,5,4,0,9,11
BHN_A,Pasti Kveten,3,5,5,0,10,13
BHN_B,Pasti Kveten,5,7,7,0,14,19
BZN_A,Pasti Kveten,0,0,2,0,2,2
BZN_B,Pasti Kveten,0,1,5,0,6,6
BRK_A,Pasti Kveten,4,4,4,0,8,12
BRK_B,Pasti Kveten,3,2,3,0,5,8
DVR_A,Pasti Kveten,4,2,5,0,7,11
DVR_B,Pasti Kveten,2,3,5,1,9,11
HLN_A,Pasti Kveten,2,4,6,1,11,13
HLN_B,Pasti Kveten,1,4,3,0,7,8
HVZ_A,Pasti Kveten,4,3,4,1,8,12
HVZ_B,Pasti Kveten,5,8,3,2,13,18
HRD_A,Pasti Kveten,2,5,6,0,11,13
HRD_B,Pasti Kveten,1,4,8,0,12,13
HRC_A,Pasti Kveten,0,3,7,0,10,10
HRC_B,Pasti Kveten,2,2,6,0,8,10
CHV_A,Pasti Kveten,1,5,4,1,10,11
CHV_B,Pasti Kveten,4,7,8,1,16,20
KLS_A,Pasti Kveten,1,4,7,0,11,12
KLS_B,Pasti Kveten,1,5,5,0,10,11
KCD_A,Pasti Kveten,1,5,3,0,8,9
KCD_B,Pasti Kveten,3,6,1,0,7,10
KKL_A,Pasti Kveten,1,5,3,0,8,9
KKL_B,Pasti Kveten,1,3,7,1,11,12
LCL_A,Pasti Kveten,1,4,8,0,12,13
LCL_B,Pasti Kveten,0,3,3,0,6,6
LVJ_A,Pasti Kveten,4,4,7,0,11,15
LVJ_B,Pasti Kveten,0,5,7,0,12,12
NSV_A,Pasti Kveten,1,3,7,0,10,11
NSV_B,Pasti Kveten,1,3,5,0,8,9
OKL_A,Pasti Kveten,2,5,5,0,10,12
OKL_B,Pasti Kveten,1,7,8,0,15,16
NVS_A,Pasti Kveten,2,0,1,0,1,3
NVS_B,Pasti Kveten,0,2,2,0,4,4
PRZ_A,Pasti Kveten,1,3,9,0,12,13
PRZ_B,Pasti Kveten,0,0,5,0,5,5
PKV_A,Pasti Kveten,3,6,6,1,13,16
PKV_B,Pasti Kveten,3,4,3,0,7,10
RTR_A,Pasti Kveten,4,5,2,1,8,12
RTR_B,Pasti Kveten,1,5,2,0,7,8
STR_A,Pasti Kveten,1,2,9,0,11,12
STR_B,Pasti Kveten,2,3,8,0,11,13
SVD_A,Pasti Kveten,3,6,5,0,11,14
SVD_B,Pasti Kveten,2,4,5,0,9,11
SFR_A,Pasti Kveten,1,4,6,0,10,11
SFR_B,Pasti Kveten,1,5,4,0,9,10
VLS_A,Pasti Kveten,1,4,6,0,10,11
VLS_B,Pasti Kveten,3,3,7,0,10,13
VRJ_A,Pasti Kveten,2,6,6,0,12,14
VRJ_B,Pasti Kveten,3,6,1,0,7,10
ZHJ_A,Pasti Kveten,0,3,6,0,9,9
ZHJ_B,Pasti Kveten,0,3,5,0,8,8
ZLM_A,Pasti Kveten,1,3,4,0,7,8
ZLM_B,Pasti Kveten,3,5,2,0,7,10
ZMB_A,Pasti Kveten,3,4,6,0,10,13
