Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
SVD_B,Cerven Month,7,2,7,0,9,16
SFR_A,Cerven Month,6,3,9,0,12,18
SFR_B,Cerven Month,7,5,4,0,9,16
VLS_A,Cerven Month,6,4,8,0,12,18
VLS_B,Cerven Month,4,6,6,0,12,16
VRJ_A,Cerven Month,3,6,7,0,13,16
VRJ_B,Cerven Month,4,5,1,0,6,10
ZHJ_A,Cerven Month,6,3,9,0,12,18
ZHJ_B,Cerven Month,7,3,7,0,10,17
ZLM_A,Cerven Month,7,1,5,0,6,13
ZLM_B,Cerven Month,5,5,1,0,6,11
ZMB_A,Cerven Month,2,1,1,1,3,5
ZMB_B,Cerven Month,4,3,5,0,8,12
ZMK_A,Cerven Month,4,1,0,0,1,5
ZMK_B,Cerven Month,3,1,0,0,1,4
