"","DCA1","DCA2","DCA3","DCA4"
"TalSto",-0.408150892161437,-1.60240803853531,0.300742447208794,1.18211012242393
"PilCon",-1.33052004165749,1.26309094236565,-1.259518232224,0.706318108061675
"Sta007",-1.16744185544531,0.343638195014452,-0.244262725454508,-0.100140074346801
"TalVer",-2.38036112668459,-0.467761770549146,1.18327650088464,-1.03933078384728
"HygCoc",0.355807825056526,-2.35599688048424,1.3220653086224,1.41605157740501
"HygCon",-1.51074464368674,-0.0241484224377078,-0.132688216568936,1.48827483956093
"CalCla",-0.791551465955253,0.324454760975307,-0.0585122193857881,-0.291718110423947
"DidPro",-1.3952057473121,0.680696066578231,-0.101783708138463,-0.495644971661917
"PyrLep",-0.895503096059246,1.13682417186304,-0.206339014586214,1.06858432936824
"StaPer007",1.46446908237266,0.159976118528268,0.920376748351793,0.206703180170634
"ChlSet",1.00830635117361,-1.01226016580744,1.24145115949312,-0.885758554241806
"Chlo018",2.07201876100776,2.68101831298244,-1.19199250076473,-0.0191615142237107
"PenMon",3.83864849928373,0.805289960134149,1.48518221302038,-0.202692488652934
"Ven010",2.42886841905256,0.864620601573465,0.598346403993567,-1.27266978783176
"Cla016",0.564437535868244,-1.80296853382829,2.18521001847193,0.107166301831895
"Phi015",0.502459193809796,-1.33190030518484,-1.42519466741896,-0.175731670327042
"Gor052",2.43748614568998,-2.42343654352019,-3.15124046967384,0.914455324309128
"Mel017",0.823866765693918,-1.6664609571619,1.1421882450065,-0.597105890510921
"ParMic",-0.71992261334153,1.04045865962606,-0.62820277925752,-0.337887420129248
"StaPse",-1.37010681893813,0.163244265223557,-0.170604183609159,0.689254293970432
"Hya063",-0.629527560298221,-1.6578509054956,2.15627445267284,-2.19510442346438
"Pod047",-0.275113526111166,-0.965864836805693,-0.227656921542904,0.1373061057115
"p_Glo030",-0.261608050170889,-1.52642618408,1.79900976838302,-1.7196062661162
"OidMai",2.43035869151501,-1.38099072172404,-1.58797559069312,1.42758615347059
"c_Aga024",0.780472684939088,-2.51263114655303,1.93297973766277,-0.29786550224896
"Clo041",-2.36403786561354,0.0240104609208625,-0.27278700144275,-1.26369816882305
"Chl031",-0.677141747187475,1.73526731449164,-0.984399836182808,-0.134872667565823
"XepLeu",-1.11103519860828,-0.400812039763698,0.469663835966679,0.772616289310147
"c_Leo28",0.741376821309208,-3.35704770120012,2.52032668476048,-0.590683557379041
"f_Hya071",2.58890022988514,-1.03108596477078,-2.32311890350645,2.2369852284035
"NepAur",-0.537181838944374,1.22674573671963,-0.425777719225694,-0.439511348086668
"ParXan",-0.747598352691145,-0.82548215200924,0.343426269783687,0.839472907971207
"LepNud",4.8804553253363,0.203840552246336,0.0842218988970194,-0.0793373614710164
"Tri021",0.117785801073168,-1.11855794407166,1.34797940082707,-0.90062013041775
"Lac058",0.277478724656373,-0.894016700607218,0.989993900250007,-1.43185690716744
"ClaBis",1.06421958232808,3.0252177432495,-1.27769727813908,-0.578546357747761
