"","DCA1","DCA2","DCA3","DCA4","Locality","LOC","Plot","LOC_Plot","Treatment"
"LVJ_a",-0.419139795567958,-1.11256144790865,-0.377729356087056,1.2782926399962,"Louky v Jeníkov?","LVJ","a","LVJ_a","Pristine"
"LVJ_b",-1.11883230956282,0.828364838736438,-0.472583220702726,-0.263389327113335,"Louky v Jeníkov?","LVJ","b","LVJ_b","Degraded"
"NVS_a",-0.615532585220061,0.866810874120545,-0.340782692238551,0.324412829454483,"Návesník","NVS","a","NVS_a","Pristine"
"NVS_b",0.850130142208654,2.11828843291487,-0.591016743247854,0.391033484907531,"Návesník","NVS","b","NVS_b","Degraded"
"PRZ_a",-1.06921167563978,-0.082104368978265,0.133561313899018,-0.0574905637216405,"Pa?ez","PRZ","a","PRZ_a","Pristine"
"PRZ_b",-0.810216875998903,1.25179708117847,-0.829596741627047,-0.00313265514976635,"Pa?ez","PRZ","b","PRZ_b","Degraded"
"PKV_a",0.536963779324075,-1.66964538631242,0.694981461924693,0.00952509954103276,"Pod kamenným vrchem","PKV","a","PKV_a","Pristine"
"PKV_b",0.730443657583885,-2.39601756947843,1.74720493644124,-0.0128973371100516,"Pod kamenným vrchem","PKV","b","PKV_b","Degraded"
"RTR_a",-0.367770053004639,-1.14069501614111,1.26874280922608,-0.760837812793332,"Ratajské rybvníky","RTR","a","RTR_a","Pristine"
"RTR_b",-1.01845696958983,1.62489286370167,0.0248003303603985,-1.43607179564674,"Ratajské rybvníky","RTR","b","RTR_b","Degraded"
"SFR_a",-0.917355479549952,-0.0664397207166498,0.446168825452259,0.146932389547177,"Šafranice","SFR","a","SFR_a","Pristine"
"SFR_b",-0.829693548338947,1.34740743158167,-0.288132994096647,-0.544481723853218,"Šafranice","SFR","b","SFR_b","Degraded"
"ZLM_a",-1.03182122488316,0.290967637877305,0.128873824281988,-0.136810037744234,"Zlámanec","ZLM","a","ZLM_a","Pristine"
"ZLM_b",0.158617049537842,3.25466586934081,0.136568500638546,-0.440740012633194,"Zlámanec","ZLM","b","ZLM_b","Degraded"
