Locality,DCA1,DCA2,Dataset
BBN_A,-0.29329395454186324,0.3516790940017571,Pasti Method
BBN_B,-0.10516701960782449,-1.0859773838838744,Pasti Method
BHN_A,0.09487888757810747,0.9893888778291613,Pasti Method
BHN_B,-0.05536395713932918,0.72958164466038955,Pasti Method
BZN_A,0.771151654179749,1.266167461599574,Pasti Method
BZN_B,0.5888556568907919,0.4773896856398403,Pasti Method
BRK_A,-0.1794807054290407,0.7251833399403602,Pasti Method
BRK_B,-0.3620683067600887,0.19753510073127112,Pasti Method
DVR_A,-0.5183525416179956,-0.5863035646553691,Pasti Method
DVR_B,0.5828007332133531,-1.2913889251879946,Pasti Method
HLN_A,-0.14561674572613847,-0.8348753367014549,Pasti Method
HLN_B,0.39856299095114744,-0.6390897056082765,Pasti Method
HVZ_A,-0.4483006901151313,-0.5679484429761403,Pasti Method
HVZ_B,0.8344594024746079,-1.3027977156024126,Pasti Method
HRD_A,-0.1252423976516044,0.26678212351475716,Pasti Method
HRD_B,0.3869447821519192,0.2720672644488904,Pasti Method
HRC_A,0.3441208288129296,0.5128158840515633,Pasti Method
HRC_B,0.8031189916317705,-0.47014714785786726,Pasti Method
CHV_A,-0.482287228848024,0.06140128672872147,Pasti Method
CHV_B,0.0708666386442991,-0.2918035549442799,Pasti Method
KLS_A,-0.0831405406912904,0.627005210553941,Pasti Method
KLS_B,0.5083383114849842,0.500634265603958,Pasti Method
KCD_A,0.14524904466673783,-0.8145535303284748,Pasti Method
KCD_B,-0.5166894581969724,-0.4181352409586653,Pasti Method
KKL_A,-1.0707845765403843,-0.23478447282391235,Pasti Method
KKL_B,-0.5312874869946427,-0.5784216088000961,Pasti Method
LCL_A,0.07495896842415606,0.13616028639982258,Pasti Method
LCL_B,0.16764513088146926,0.2060580723622234,Pasti Method
LVJ_A,-0.5562531229736489,0.6581652624077825,Pasti Method
LVJ_B,-0.10239344617362689,1.2210631743971847,Pasti Method
NSV_A,0.6365005115330975,0.6981722283593292,Pasti Method
NSV_B,0.45430157948660344,0.854743398937889,Pasti Method
OKL_A,-0.21369860214118963,0.8111804787769579,Pasti Method
OKL_B,-0.17593703714735798,0.3251969541819917,Pasti Method
NVS_A,-0.3286543734738362,0.8872066089934911,Pasti Method
NVS_B,0.573637736282226,0.36441209118396345,Pasti Method
PRZ_A,0.3289943376927029,0.788338910138962,Pasti Method
PRZ_B,0.9948584705429644,0.47829933918847,Pasti Method
PKV_A,-0.13662116627777132,0.09429668040548322,Pasti Method
PKV_B,-0.4275095294563446,0.2873509727495054,Pasti Method
RTR_A,0.3230197472865963,0.8221843516255638,Pasti Method
RTR_B,-0.3267215670442162,0.5845160746532216,Pasti Method
STR_A,-1.1292111085248533,-0.19388662258431344,Pasti Method
STR_B,-1.1021348269417208,-0.605130989888594,Pasti Method
SVD_A,-0.1429130073149818,-1.3815377009927854,Pasti Method
SVD_B,-0.4873563592814796,-0.9121650700995145,Pasti Method
SFR_A,-0.11933315266337008,0.8046012318523221,Pasti Method
SFR_B,-0.04641174177086316,0.2903826451003564,Pasti Method
VLS_A,-0.3239444309711319,0.2911739145738006,Pasti Method
VLS_B,-0.05904791077565852,0.28965062478503323,Pasti Method
VRJ_A,0.2596222971348072,-0.29734180727459414,Pasti Method
VRJ_B,-0.5478099670694171,-1.2143298476596924,Pasti Method
ZHJ_A,0.2509776257676881,0.40231009449149946,Pasti Method
ZHJ_B,0.6475255594001985,-0.03397696350371304,Pasti Method
ZLM_A,0.10553738316648698,0.21850987795514598,Pasti Method
ZLM_B,0.1002951489298296,-1.004924504555119,Pasti Method
ZMB_A,0.3131702170206714,-0.5402404742517917,Pasti Method
ZMB_B,3.150479058426035,-0.30482437744037605,Pasti Method
ZMK_A,-0.9933481824469198,-0.8182799003795743,Pasti Method
ZMK_B,-0.40681329195147853,-0.9122218579428404,Pasti Method
