Locality,DCA1,DCA2,Dataset
BBN_A,-0.18858377515775482,1.31845685480622,Smyk Kveten
BBN_B,0.07897385560333214,1.4065421605586204,Smyk Kveten
BHN_A,-0.10331001691742037,0.326309728359649,Smyk Kveten
BHN_B,-0.1731375396612016,0.3003861667669827,Smyk Kveten
BZN_A,-0.019034237586226688,0.7896827790979846,Smyk Kveten
BZN_B,-0.11011433704667484,-0.11231081425719935,Smyk Kveten
BRK_A,1.182911068091808,-0.566819438273849,Smyk Kveten
BRK_B,0.4968445242179995,0.43519862954672894,Smyk Kveten
DVR_A,0.2783266536294007,-1.593212335192698,Smyk Kveten
DVR_B,0.167704114973251,-0.9861557713031153,Smyk Kveten
HLN_A,-0.3960198970208122,-1.0991600751948285,Smyk Kveten
HLN_B,-0.8873697112779513,-0.08158760072917448,Smyk Kveten
HVZ_A,-0.48722065392286784,-1.5438009211155963,Smyk Kveten
HVZ_B,2.4509504236868187,-0.016616462802183873,Smyk Kveten
HRD_A,-1.4018414461304676,0.17605872939024203,Smyk Kveten
HRD_B,-0.10086479944136473,-0.30160261295430413,Smyk Kveten
HRC_A,1.1108305623861154,-0.20177573775016544,Smyk Kveten
HRC_B,0.2585246381471906,0.1616686597228567,Smyk Kveten
CHV_A,-0.38314489077221525,-0.15041933907683158,Smyk Kveten
CHV_B,0.0418192538211124,-0.6339859446484035,Smyk Kveten
KLS_A,0.3753584960173941,0.2610330258885518,Smyk Kveten
KLS_B,0.254279637544919,0.3752249568223014,Smyk Kveten
KCD_A,0.3527103315701714,0.8391879868455485,Smyk Kveten
KCD_B,-0.2982140214349245,0.8653553331108153,Smyk Kveten
KKL_A,-1.0919172202176874,0.49834349180427906,Smyk Kveten
KKL_B,-2.220778669246358,-1.1997066487407724,Smyk Kveten
LCL_A,-0.1557614146805837,-0.039905980350790626,Smyk Kveten
LCL_B,-0.847439171150316,2.561736361023838,Smyk Kveten
LVJ_A,-0.023019344744489523,0.26738898110642784,Smyk Kveten
LVJ_B,-0.3734421621692541,0.8852657839047062,Smyk Kveten
NSV_A,0.6359009643488105,0.058572427456580645,Smyk Kveten
NSV_B,1.2445864469736163,0.22039372841003702,Smyk Kveten
OKL_A,-1.919214151929911,2.2486492040304906,Smyk Kveten
OKL_B,0.33504876118736737,0.687720622431854,Smyk Kveten
NVS_A,-0.834605838351703,-0.14747996802311714,Smyk Kveten
NVS_B,0.042995186789891005,0.857571905006709,Smyk Kveten
PRZ_A,1.346794065137162,0.47025216483816057,Smyk Kveten
PRZ_B,-1.948277167145926,-0.28279803884084176,Smyk Kveten
PKV_A,-0.44938799467712776,0.3122845294572263,Smyk Kveten
PKV_B,0.840328732329815,0.4021674796536734,Smyk Kveten
RTR_A,-0.48323543870694796,1.7885561234979181,Smyk Kveten
RTR_B,0.027806202815822356,-0.4486650532715135,Smyk Kveten
STR_A,0.27192022833970775,-0.6173134029346705,Smyk Kveten
STR_B,0.2154328743876266,-1.1037648883996867,Smyk Kveten
SVD_A,0.39320993026707596,-1.0276961822336437,Smyk Kveten
SVD_B,0.02410146502914534,-1.029347969177901,Smyk Kveten
SFR_A,0.809863861757365,-0.20524848143257723,Smyk Kveten
SFR_B,-0.0058661217598121596,-0.7619920275233147,Smyk Kveten
VLS_A,0.052064318981444924,1.3048878938143302,Smyk Kveten
VLS_B,0.7269913325579145,0.1185153621045354,Smyk Kveten
VRJ_A,-0.8245523275743558,-1.8995962058840756,Smyk Kveten
VRJ_B,0.39441891077309776,1.7448363214540132,Smyk Kveten
ZHJ_A,0.39466465357046276,-0.5553566566580928,Smyk Kveten
ZHJ_B,0.01900277268090056,0.0034248621099404186,Smyk Kveten
ZLM_A,-0.11056614963947098,0.8793126451079984,Smyk Kveten
ZLM_B,-0.24881782488954673,0.2204247196532101,Smyk Kveten
ZMB_A,1.1585622594202918,0.13316493685383723,Smyk Kveten
ZMB_B,5.178493122565113,0.1186741542112919,Smyk Kveten
ZMK_A,-1.2764172287671771,-1.4114973868408556,Smyk Kveten
ZMK_B,-0.13173486701302517,-0.8083224859322604,Smyk Kveten
