Locality,,Alabasta militaris,Arcella conica,Arcella costata,Arcella crenulata,Arcella dentata,Arcella excavata,Arcella gibbosa,Arcella hemisphaerica,Arcella mitrata,Arcella rotunda,Arcella vulgaris,Argynnia dentistoma,Assulina muscorum,Assulina seminulum,Awerintzewia cyclostoma,Bullinularia gracilis,Centropyxis aculeata,Centropyxis aerophila,Centropyxis mirabilis,Centropyxis constricta,Centropyxis cryptostoma,Centropyxis discoides,Centropyxis ecornis,Centropyxis lapponica,Centropyxis oblonga,Centropyxis orbicularis,Centropyxis sphagnicola,Centropyxis spinosa,Puytoracia bonneti,Corythion dubium,Corythion gigas,Cryptodifflugia constricta,Cryptodifflugia glabra,Cryptodifflugia oviformis,Cryptodifflugia fusca,Cryptodifflugia sacculus,Cyclopyxis arcelloides,Cyclopyxis eurystoma,Cyclopyxis intermedia,Cyphoderia ampulla,Cyphoderia calceolus,Diaphoropodon mobile,Difflugia bacillifera,Difflugia cylindrus,Difflugia dujardini,Difflugia fallax,Difflugia gigantea,Difflugia giganteacuminata,Difflugia lacustris,Difflugia lanceolata,Difflugia lebes,Difflugia lithophila,Difflugia oblonga,Difflugia penardii,Difflugia pyriformis,Difflugia wailesi,Euglypha acanthophora,Euglypha cirrata,Euglypha bryophila,Euglypha capsiosa,Euglypha ciliata,Euglypha glabra,Euglypha compressa,Euglypha cristata,Euglypha denticulata,Euglypha filifera,Euglypha hyalina,Euglypha laevisgroup,Euglypha muscorum,Euglypha penardi,Euglypha polylepis,Euglypha rotunda,Euglypha obliqua,Euglypha simplex,Euglypha strigosa,Euglypha tuberculata,Frenzelina reniforme,Galeripora arenaria,Galeripora catinus,Galeripora dentata,Galeripora discoides,Galeripora jurassica,Galeripora scutelliformis,Gibbocarina galeata,Gibbocarina gracilis,Heleopera lucida,Heleopera petricola,Heleopera amethystea,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia insecta,Hyalosphenia ovalis,Hyalosphenia papilio,Hyalosphenia platystoma,Hyalosphenia punctata,Lesquereusia modesta,Lesquereusia spiralis,Longinebela speciosa,Longinebela penardiana,Longinebela speciosa,Longinebela tubulosa,Nebela bohemica,Nebela gimlii,Nebela guttata,Nebela collaris,Nebela guttata,Nebela rotunda,Nebela tinctagroup,Netzelia gramen,Netzelia lithophila,Netzelia tuberculata,Padaungiella nebeloides,Padaungiella lageniformis,Padaungiella tubulata,Padaungiella wailesi,Paraquadrula irregularis,Pareuglypha reticulata,Paulinella chromatophora,Phryganella acropodia,Planocarina carinata,Planocarina marginata,Pontigulasia elisa,Pseudonebela rubescens,Quadrulella longicollis,Quadrulella quadrigera,Quadrulella symmetrica,Sphenoderia fissirostris,Sphenoderia labiata,Sphenoderia lenta,Sphenoderia splendida,Tracheleuglypha acolla,Tracheleuglypha dentata,Trachelocorythion pulchellum,Trigonopyxis arcula,Trinema complanatum,Trinema enchelys,Trinema lineare,Wailesella eboracensis,Zivkovicia compressa
KAM B,PKV_B,,,,,,,,,,,,,48,1,,,1,,,1,,,,,,,,,,13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,,,13,,,5,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,
KUK A,KKL_A,1,,,1,,,,,,17,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,5,1,,43,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUK B,KKL_B,,,,1,,,14,,,6,,,1,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,59,5,,
LIS A,VLS_A,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,23,,4,,,,6,,,,,,2,,,2,,,,,2,3,2,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,6,,,,,,,,,,,,,,1,,8,,,1,21,1,,
LIS B,VLS_B,,,,,,,,,,2,,2,,,,,1,2,,4,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,4,3,,,16,,,,,,5,,3,2,,,,23,,2,,,,,1,1,1,,,,,,,,,,,,,,2,,,,2,,,,,,,,6,,,,,,,,,,,,,1,,,,2,,5,,,,4,,,
NAV A,NVS_A,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,9,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,,18,,,,10,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,2,2,5,,5,10,21,,
NAV B,NVS_B,,,,,,,,,,,,,21,,,,,2,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,3,,,,16,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,3,3,4,,
OKL A,OKL_A,,,1,,,,,,,,,,,,1,,3,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,1,,2,,15,,,,6,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,5,24,28,,
OKL B,OKL_B,,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,,,,2,,2,,,,,,3,1,1,,,,,1,,,,,,,,,,,1,,,1,4,,,,2,,,,,,,,4,,,10,,,,,,,,,,4,,,,,,2,,,1,33,12,,
PAR A,PRZ_A,,,,2,,,,,,,2,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,3,,,,5,,3,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,1,,,1,,5,,,,,42,18,,
PAR B,PRZ_B,,,,,,,,,,,,,,,,,,2,,7,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,1,6,,8,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,10,,,,2,16,26,,
RAJ A,VRJ_A,,,,,,,,,,,,,2,2,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,4,4,,1,,4,,,,7,,7,,,,,,,,,,,,1,,6,7,,,,,16,,,,,,,,,,,,6,,,1,,,,,,,,1,,,,,,,,,,9,,,1,,,3,,,,1,10,,
RAJ B,VRJ_B,,,,,,,,,,,,1,11,3,,,3,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,,,,1,,3,4,,,,,,,,,,,4,,6,2,,,,,,1,,,,,,,,,,,38,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,
RAT A,RTR_A,,,,,,,,,,,,,10,14,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,17,,18,3,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
RAT B,RTR_B,,,,,,,,,,,,,,,,,,2,,5,,,,,,2,,,,6,5,,,,,,,1,,,,,,,,5,,,,,,,2,,,,,,,,1,1,,1,,,,8,,,,15,,9,3,1,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,2,,,,18,4,,
SAF A,SFR_A,,,,2,,,,,,,2,,3,,,,,5,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,9,,,,4,,4,,1,,,,,,,,,,,2,4,,,,,,4,2,,,,,,,3,,,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,5,3,,,2,7,11,,
STA A,STR_A,1,,,2,,,8,,,1,18,1,,,,,3,,,,,,2,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,2,,,,,1,,,,,3,1,,,,,,,,,,,,,,1,,,,1,23,,,,1,,,,,,,1,2,,,7,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,4,6,,
STA B,STR_B,,,,1,,,5,2,,21,1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,4,1,,,3,,6,1,,,,,,5,,,,,1,,,1,,,,,11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,4,,,1,,,,10,13,,
SVI A,NSV_A,,,,,,,,,,,,,,,1,,1,,,2,,,1,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,15,,7,,,,6,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,2,4,,4,,,,33,7,,
SVI B,NSV_B,,,,,,,,,,,,,,,,,,7,,4,,,,,,2,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,2,,,,28,,7,9,,,,2,,2,,,,,1,,7,1,,,,,,,,,,,,,3,,,,1,,,,,,,,,,5,1,,,,,,,,,,,,,,1,,2,,,,6,1,,
VDO A,SVD_A,5,,1,3,,,5,,,21,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,5,,3,,1,,,7,,25,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,7,,
VDO B,SVD_B,3,1,1,1,,,4,,,14,,,4,1,,,,,,,,,,,,,,,,3,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,12,,4,2,,,,3,,14,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,6,,,,1,,,7,3,,
ZEL A,,,,,1,,,,,,6,1,,10,,,,,16,,3,,,1,,,,,,,2,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,4,1,1,,,6,,,,,,,1,,17,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,,2,,,,,3,,,,2,3,6,,
ZEL B,,,,,,,,,,,3,,,24,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,6,1,,,,,,30,,,,,,,1,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
ZHE A,ZHJ_A,,,,,,,,,,1,,2,1,,,,2,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,1,,,,,,23,,,,,1,4,1,,,,,,28,,,,,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,12,2,,
ZHE B,ZHJ_B,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,3,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,,,,6,,3,1,,,,3,,30,,,,,1,3,,,,1,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,3,8,20,,
ZKY A,ZMK_A,,,2,1,,,,,,3,,4,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,2,,,,,2,,11,,,,,,5,,,,3,,2,,,,,3,,3,3,,,,,,1,3,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,1,,1,,,,,,4,,,,4,27,,
ZKY B,ZMK_B,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,16,,,,6,,3,2,1,,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3,50,,
ZLA A,ZLM_A,,,,1,,,,,,,5,5,,,,,1,3,,4,,,,,3,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,6,,3,2,,,,,,2,,,,,1,3,,1,,,,,,1,,,3,,,,1,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,5,,,,8,18,,
ZLA B,ZLM_B,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,3,,,2,17,,16,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,1,2,,1,23,12,,
