Short_names,BraBre,BraNeo,BraOca,BraSer,BraSty,BraVit,DecPla,DiaBal,EncCes,EncMic,EnsMin,EunArc,EunBil,EunExi,EunFle,EunGlf,EunGla,EunInc,EunPal,EunUrs,EunVal,FruCra,FruSax,IcoCur,IcoDel,NeiAff,NeiBis,PinAcr,PinBic,PinDiv,PinGib,PinSin,PinSto,PinSct,SelTri,StaExi,AdlBry,AdlPar,AulAlp,AulNiv,AulPus,AulTen,AulVal,CalSil,CalTen,CalUnd,CavCoc,CavLap,CavVar,CtePul,CymNav,CymSub,DipEll,DipKra,DipObl,DipOcu,DipOva,DipPar,DipSub,EncLun,EncPrg,EucFle,EucLae,EunBid,EunBot,EunFal,EunImp,EunMet,EunMic,EunMin,EunMus,EunNeo,EunNym,EunPra,EunRho,EunTen,FalIns,FalVit,FraBic,FraVir,GomGra,HalMon,ChaHas,ChaMed,ChaSoe,KobSub,NitAci,NitAlp,NitFru,NitNan,NitPls,NupPen,NupSil,PinBre,PinDec,PinDvt,PinEif,PinFre,PinGig,PinLeg,PinLok,PinMac,PinMar,PinMic,PinElo,PinNeo,PinCun,PinNob,PinNod,PinRup,PinStr,PinSgb,PinSrp,PinTra,PinVrf,PinVrd,PinPer,PinSil,PsaAci,StaAnc,StaGra,StaKri,StaPho,StaSmi,StaThe,TabFlo,TabVen,TryHun,AulAmb,AulIta,CalBac,CymAsp,DenKue,DiaEhr,EnnMin,EncPrp,EncSil,EncVen,EncLan,FruVul,GomAci,GomAcu,GomAng,GomBoz,GomCla,GomExi,GomHeb,GomMic,GomMin,GomPar,GomPse,GomSub,GomVar,MerCir,MerCon,NanCat,NavAng,NavExi,NavNot,NitAmp,NitCla,NitFon,NitLin,NitMic,NitPla,NitPlc,NitRec,PinObs,PlaAbi,PlaElg,PlaCun,RhoRup,RosPet,SelAto,SelBac,SelNig,SelPse,SelPup,SelRec,SelSau,SelVen,SelVit,StaCon,StaVen,StaBer,StaPin,SurAng,AchCal,AchLin,AchMin,AmpCop,AstFor,AulGra,AulMuz,CalAer,CocPla,CycDub,DisSte,FraCap,FraDel,FraGra,FraNan,FraTen,FraVau,GogExi,HanAbu,HanAmp,HanElo,HipCap,HumBre,HumPer,KarCle,LutAci,LutMut,MayAto,MayPer,NavCry,NavLan,NavRad,NavRhy,NavVen,PinBor,PlaFre,PlaLan,PseBre,PseSub,RhoGib,SteMen,SteHan,UlnUln,UlnAcu
VLS_A_HM5,,,,,,,,1,,,,,12,,,,,,,,,,,,,,,2,,,,4,,,4,,47,,,,,,,,33,,,,,,1,1,,,4,,,2,,,,,,,,,2,,,,,,,,,12,,,,,,,,,,,103,,6,,,,6,,,,,,,,,,,2,,,,,1,1,2,1,,,,,1,,,,,,,,,,,1,,,,2,,,,,2,1,,,,,,,,,4,,2,2,,,4,20,,,,,,,,,4,,,,2,,,,6,2,,32,,,8,1,,36,,,,,,,,,,10,,,,,,,,,,,,,2,,2,,,8,,,1,,,,,,,,,,,,,,,,,,,,
NSV_A_SP2,,1,,,,,,,10,,,,5,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,,,,1,7,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,3,,,,4,,,,4,,101,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,
NSV_A_HM2,,,,,,,,,12,,,1,19,,,,,,,,,,,,,,,1,,,,,1,,,3,,,,,,,,1,1,,,,1,,1,1,,,,,1,1,1,1,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,6,2,1,,,,,,,,1,1,1,,,,1,,,,,,,1,,,,,1,,,,27,,,,,,,,,,,,,1,,,,1,1,1,,,,,,1,,,1,,1,8,,1,,,1,,,1,,,,1,,,,,,,,,,,1,,,1,,,,3,,,,1,,,,18,,215,,,,,,,,,,,1,,45,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,
BBN_A_SP2,,,,,,,,,,,,,,265,,,,,28,2,27,,6,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,30,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,2,5,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBN_A_SP5,,,,,,,,,,,,,1,,,,,,141,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,111,,,,,,,,34,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTR_A_SP4,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,61,,6,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTR_A_HM7,,,,,,,,,,,,,2,,,4,,,11,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,285,,2,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVJ_A_SP3,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
LVJ_A_SP2,,,,,,,,,4,,,1,6,,,,,,,,2,,,,,,,1,,,,,4,,,,39,,,,,,,,59,,,,,,,,,2,8,3,,4,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,97,4,,,,,,1,,,,,,,,,,,,,,,1,19,,,,,2,5,,,,,,,1,,,,,,,,,1,,,,4,,,,,,,,,,5,,,,6,,,,,,,,,,,,,,,,,,,1,1,,,,8,1,10,,2,,,,,,,,,,,,92,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
PKV_A_SP3,39,38,,,,,,,,,,,,60,,,4,3,12,,10,24,28,2,8,,,,4,,,,,16,,,,,,,,,,,,1,,,,,1,,,,,,,,,6,1,,,,,,,,,,,,,,2,56,,2,,,,,,8,,35,2,,,,,,,,1,6,,,,,,2,,,,,,,,,,,,,,,2,,3,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,11,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKV_A_SP4,2,1,,,,,,,,,,,,14,,,,,32,,2,1,6,,,,,,,,,,,67,,,,,,,4,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8,,,,,,,,225,,2,,,,,,,,,,6,,,,,,,,,,9,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
KCD_A_SP3,,,,,,,,,1,,,1,9,1,,1,,,1,,4,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,2,,1,1,,4,12,,,1,,,,,,,,1,,,,,,84,1,,,,,,,,,4,36,2,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,1,,,,,,,1,,,,,,,,4,2,,,,,,,,,,,1,,,,,1,,10,,1,1,,1,,,,1,,,,1,,,,,,,,,,38,,,1,,,,1,,,,,,,,45,16,89,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
KCD_A_SP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,59,,28,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
NVS_A_SP5,,,,,,,,,,,,,2,,,2,,,114,,2,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,3,,221,,17,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
NVS_A_HM7,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,4,,,,,,69,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
LCL_A_SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,23,,,,,,106,,6,39,,,,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,6,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,2,,,,,,,2,2,
LCL_A_HM6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,5,,,13,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,1,,143,,13,,2,,,,20,,10,116,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,12,,,,,,,,,4,,1,,,,,,,1,,1,2,,1,,,,,,,,,1,1,,,1,,,1,,,,,,2,,4,,,1,6,,,,,,,2,,,2,,,5,,2,2,3,1,1,,,,,,,,6,,,,,1,,,,,,1,2,,,,1,,,,,,,1,
BHN_A_SP5,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,6,,9,,,51,,,,,,,,12,,,,,,,,,,,2,,2,,,,,,,,,,,,8,,,,,,204,,4,,,,,10,27,,2,18,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,2,,,2,,,,,,,,,,,,2,,,,,,,2,,2,,,,8,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHN_A_HM6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,22,,,,,21,6,,37,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFR_A_SP4,,,,,,,12,,10,,,,,24,,,2,,,,,,12,2,,,2,,2,6,9,2,,,,,2,,,39,,,2,,12,2,,,,,,,2,,,,,,,2,,,,,,,,,,2,,,,8,,26,,6,,,,4,,,5,39,65,,14,45,,,,,,9,,,,2,,,,,,,,,,,,,,,,4,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,14,,,,,,
SFR_A_HM6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,2,2,2,,1,,80,,,8,,,,,4,,,,,,,,,,,11,,6,,,,,,,,,,2,,2,,,,,,105,,6,,,,,,,,9,40,,6,,,,,,,,,,,,,,,,,,,,,12,,,,,,8,,2,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,1,,,,2,4,,,,,,,,,6,1,,,2,,,,,,,,,8,,,,,,,,,,,,1,,10,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,25,,,,,,
ZLM_A_SP2,6,2,,,,,33,,8,,,,12,,,,2,,8,,,2,,,,,6,1,,1,1,1,6,,,22,9,13,,,6,,,1,16,1,,,,,,,2,,,2,,,,4,,,,,,,26,,,2,,,,,,,,2,,,,,1,1,10,4,102,,,,,,,,1,8,,,,,,,,1,,,,,,6,,,,,,,1,,1,,,,,,,2,,,,,,,,,,2,,,1,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,24,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ZLM_A_HM3,2,2,,,,,,,8,,,,4,,,,,,,,,,,1,,,,4,,,2,,1,,,15,4,,,,4,,,,4,,,,,,2,,25,,,2,,14,,,,,,,,,4,,,,,,,,,,,,,,,,8,2,,,21,24,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,1,,2,,,,,,,,,,2,,,2,,,,,,,1,,1,,,2,2,,,,,,,,,,,,43,,10,,,2,,,,,,2,,,6,1,,,8,,,,,,,,140,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,10,,1,,,1,,,,,
