Species,DCA1,DCA2,Dataset
AgrBru,-0.6208639969815236,-1.108084770169206,Pasti Kveten
AgyAff,-2.219055958109932,-3.288420531654194,Pasti Kveten
AgyRur,-0.652616423034434,1.9936267253972466,Pasti Kveten
AloCun,0.11212128518590503,-1.483858960496151,Pasti Kveten
AloPul,-0.5663121998686489,0.23522798689813373,Pasti Kveten
AntEle,-0.33260187567505173,-1.1336134433154867,Pasti Kveten
AphMis,-1.580352002861451,-2.6689164547425017,Pasti Kveten
AraCra,0.9234899450201142,-0.7253314753736491,Pasti Kveten
AraHum,0.35686737704274996,-2.8728547980645804,Pasti Kveten
ArcLeo,-2.1948807010618587,2.0912984127543996,Pasti Kveten
AttCar,-0.7473802467248396,-1.2861793747186403,Pasti Kveten
AttPub,0.7276741788738748,-2.5632727510340043,Pasti Kveten
AulAlb,-1.07151127453235,2.098072184490045,Pasti Kveten
BatApp,2.041994174467276,-0.8891801972674805,Pasti Kveten
BatGra,0.6893387493698246,-1.8313116991174794,Pasti Kveten
BatNig,3.725670092981722,0.22827149894072973,Pasti Kveten
CalCla,-1.5689112693538014,1.641897830999154,Pasti Kveten
CenArc,-1.6919936810294107,-2.672770286256469,Pasti Kveten
CenLev,-0.5433134156194485,2.0660571370941834,Pasti Kveten
CerBrp,0.5398768071507396,-0.030923331355876327,Pasti Kveten
CerBrs,-0.6528977975631629,1.251313438835767,Pasti Kveten
CicCic,1.795611695404788,-1.3439072084342647,Pasti Kveten
CluDiv,-1.2720255938087703,0.5523416961072658,Pasti Kveten
CluSus,0.14895065797829132,1.1535283573687978,Pasti Kveten
CluSut,-0.31986265949437365,1.4521158546136586,Pasti Kveten
CneObs,-0.7897560376517838,-1.3398586796095457,Pasti Kveten
DicNig,0.27723984644408306,-1.7530698587098918,Pasti Kveten
DolFim,-1.6624526648249518,-0.9879908261388728,Pasti Kveten
DraCup,-1.260668992948993,-1.0204629530521128,Pasti Kveten
DraLut,0.037916603471022325,1.9345280567985874,Pasti Kveten
DraPus,0.9762661551861544,2.898256801981283,Pasti Kveten
EriIgn,0.21968479593132217,-0.007121839828090115,Pasti Kveten
EurFla,-1.684705542773234,0.08123271385150521,Pasti Kveten
EvaArc,-3.238732884597874,2.049497889376507,Pasti Kveten
GnaNig,-0.8419871152800893,1.1285114823782179,Pasti Kveten
GonLat,3.308357543824001,1.954641604323454,Pasti Kveten
GonViv,3.501941988132528,0.44375546865715254,Pasti Kveten
GonRuf,3.725670092981722,0.22827149894072973,Pasti Kveten
HahPus,-2.1676332102268994,-1.2004415370259571,Pasti Kveten
HarLep,-0.8098645630744136,1.4671707825079157,Pasti Kveten
HygRub,-2.1255648382812913,1.131993883633129,Pasti Kveten
HypBit,1.5186869097256133,1.1227053365489041,Pasti Kveten
IneIne,-2.0873821150339427,1.7035060307887795,Pasti Kveten
LopPun,1.7994351205744317,2.1763781665393345,Pasti Kveten
ManAca,-0.1314711439729468,2.1997215326316737,Pasti Kveten
MerTri,-3.238732884597874,2.049497889376507,Pasti Kveten
MetPro,-1.624184706043914,0.21539686940160774,Pasti Kveten
MicPul,-3.238732884597874,2.049497889376507,Pasti Kveten
MicVir,-2.804877318328762,-3.9207624726923034,Pasti Kveten
NeoVal,-0.9026031091800386,-1.3175121873075493,Pasti Kveten
NerCla,-0.5817246410222356,-1.5736103522851357,Pasti Kveten
NotSar,0.034233003656383376,-0.1612498957295755,Pasti Kveten
OedGib,2.43201365148367,0.3329434600340464,Pasti Kveten
OzyAto,1.2418063968280273,2.6112939413557332,Pasti Kveten
OzySca,-0.652616423034434,1.9936267253972466,Pasti Kveten
OzyTru,0.06204230230370178,1.7997998109620092,Pasti Kveten
PacCle,1.1611578781285727,-0.82469337446929325,Pasti Kveten
PacDeg,-0.20998954859060626,0.7575413414438459,Pasti Kveten
PacLis,-0.7425818380651017,0.6508928664345,Pasti Kveten
ParAla,0.8954987620811865,-1.6704207163062585,Pasti Kveten
ParAme,2.71756172650793,-1.1741220131058725,Pasti Kveten
ParLug,-1.1267339184495997,1.887518867504434,Pasti Kveten
ParPra,2.238725335664122,-0.12645589191815687,Pasti Kveten
ParPul,0.29840554699027333,-0.5114882373887281,Pasti Kveten
ParRip,-2.9537225306827932,-0.9074741688734056,Pasti Kveten
PelPar,1.296628421881136,0.6564989112612882,Pasti Kveten
PirPis,0.38529697698040555,-0.9942345047597259,Pasti Kveten
PirHyg,-0.10658523115594454,1.095376161101222,Pasti Kveten
PirLat,0.5338561301028997,-1.5112667357501368,Pasti Kveten
PirUli,-1.1365834501684504,1.942148987915302,Pasti Kveten
PisMir,-1.4587448103290093,-0.5884146565308973,Pasti Kveten
PocJun,-0.8203283226949712,1.4393035253668658,Pasti Kveten
PocPum,-0.8185244697748034,-1.3304020333190154,Pasti Kveten
SilEle,0.6666354647734467,0.13372589187075734,Pasti Kveten
SinCor,-1.2786893135869188,-1.0349520050516952,Pasti Kveten
