Species,DCA1,DCA2,Dataset
AgyCau,-1.4422137887384339,-0.3891040013260052,Pasti Method
AgyRur,-1.1289296491005762,-2.0173835190340856,Pasti Method
AloCun,-0.503348220921518,2.135675406950796,Pasti Method
AloPul,-0.5087298009835697,-0.643078755452413,Pasti Method
AntEle,-1.500881848361897,-0.1408813039093182,Pasti Method
AphMis,1.0196055409549483,-1.1096102452849514,Pasti Method
AraCra,0.18333439082901926,0.669278715177839,Pasti Method
AraHum,1.1563543342924119,1.9387480968894186,Pasti Method
ArcLeo,-0.07680645432668665,-1.4108699392896658,Pasti Method
AttCar,-1.9013406088704543,0.8578113172449644,Pasti Method
AulAlb,0.39336947642928033,-1.828242301851628,Pasti Method
BatGra,0.5719288936370166,0.7383784531006934,Pasti Method
BatNig,4.061676685595755,-0.1855372785972198,Pasti Method
CenArc,-2.394482542738044,0.18507769301073118,Pasti Method
CenLev,-0.21064407623287063,-1.670477588669708,Pasti Method
CerBrp,0.13481751970937839,0.7773049366512823,Pasti Method
CerBrs,0.7790487583258108,-1.332993325303086,Pasti Method
CluNeg,0.1984309309275516,-1.474890516440126,Pasti Method
CluRec,-1.4225506038814169,1.6523242087969385,Pasti Method
CneObs,0.4992840765201274,-0.617579349855468,Pasti Method
DipCon,4.061676685595755,-0.1855372785972198,Pasti Method
DisBif,0.17819233479218455,1.7538746076090446,Pasti Method
DolFim,-1.0122835678380315,-1.5338419089101607,Pasti Method
DraCup,-1.8587945303829685,1.7644100679564714,Pasti Method
DraPub,-3.1980330456782906,-0.508419593978676,Pasti Method
DraLut,0.18399919251443397,-0.5732516208896189,Pasti Method
DraPus,0.3289089664533875,0.8940770648590433,Pasti Method
EriAtr,1.121392765580234,3.878464626713707,Pasti Method
EriIgn,-0.6345329759913055,0.46863193468348885,Pasti Method
EuoFro,1.0276242612709345,-2.4216882748859097,Pasti Method
EurFla,0.23928109668015152,-2.0239929231521856,Pasti Method
EvaArc,-1.1966056695402978,-1.7776495311603921,Pasti Method
GnaNig,-1.1698984868745201,-0.3025507903737783,Pasti Method
GnaDen,-0.8725583205763023,3.010490531810497,Pasti Method
GonLat,3.268137158131141,-1.1629811930858365,Pasti Method
GonViv,3.5442082195980826,1.1658250043515999,Pasti Method
HapCog,-3.2453360722573734,0.9285074468876484,Pasti Method
HygRub,-2.289838258970483,-1.4242989383273341,Pasti Method
HypFul,-0.8211721010220734,1.906878397484903,Pasti Method
IneIne,-1.3034416649402185,-2.2100437606207697,Pasti Method
LopPun,1.1970652845604817,1.21850360154107,Pasti Method
