Species,DCA1,DCA2,Dataset
AgyCau,-1.0519211652695133,0.4887703525851599,All Combined
AgyRur,-0.4014928751366709,-1.083880506256717,All Combined
AloCun,-0.8464564576222369,-2.5452872295080837,All Combined
AloPul,-0.269695082335915,0.3731538536725676,All Combined
AntEle,-0.9044780918219395,1.0084403917401707,All Combined
AphMis,0.6506470475505288,1.118893461013815,All Combined
AraCra,0.012591907284495996,-0.8064975520721653,All Combined
AraHum,-0.8921760517859404,-1.3103989395156748,All Combined
ArcLeo,-0.26543247332968534,1.5016489151255192,All Combined
AttCar,-0.6553556182297354,-0.4067812477198891,All Combined
AulAlb,0.9760303219022215,1.6475717415671784,All Combined
BatGra,0.5826151387114227,-0.8675646098441091,All Combined
BatNig,4.594434237040381,0.234696536934897,All Combined
CenArc,-1.8570352535514247,0.8318654200477225,All Combined
CenLev,0.06130744365398244,1.0617721788126966,All Combined
CerBrp,0.039015339159497286,-0.885798955166297,All Combined
CerBrs,0.5639486174582999,0.5391321154167388,All Combined
CluNeg,-0.03162060724653004,0.017498983429617976,All Combined
CluRec,-0.4335338709229039,-0.6597650302684541,All Combined
CneObs,0.8521987041429877,0.2650565936261824,All Combined
DipCon,4.594434237040381,0.234696536934897,All Combined
DisBif,3.7479476664225135,-1.0906485116622453,All Combined
DolFim,-0.22633176780330844,2.0480966713596955,All Combined
DraCup,-1.5448253352208972,-1.963303877571943,All Combined
DraPub,-1.682445105899009,1.94892338421434,All Combined
DraLut,0.2529138652795506,0.5971627450884684,All Combined
DraPus,-0.005074362130445653,-1.22615032727645,All Combined
EriAtr,-0.9456661460215802,-1.4641392159890259,All Combined
EriIgn,-0.29453161936028915,-0.44402428603602817,All Combined
EuoFro,1.047269121982261,1.830692816082069,All Combined
EurFla,0.28412755667578216,1.8342930471855237,All Combined
EvaArc,-0.059174378449807996,1.0448646583884784,All Combined
GnaNig,-0.9257163953041959,0.9414753177613671,All Combined
GnaDen,-1.2701464901559343,-3.4823779254223113,All Combined
GonLat,3.7683047797661864,0.13238518764287943,All Combined
GonViv,4.0891415595404395,-0.9891640278494016,All Combined
HapCog,-2.061987116725447,1.9783849361576133,All Combined
HygRub,-1.4178178376414878,2.4857058962898235,All Combined
HypFul,0.5391067753865695,-3.2082567584660344,All Combined
IneIne,-0.9277767181057776,2.0690119461278678,All Combined
LopPun,0.6118880316802648,-1.3454338188960084,All Combined
MicPul,1.6715781120487805,2.5377162603828647,All Combined
MicGeo,-1.0837749852266025,1.3477702026771694,All Combined
MasSun,-1.2744014362417833,1.8603235518137242,All Combined
NeoVal,-0.36999539897839034,1.104637381317389,All Combined
NeoBim,0.15321711245840952,0.11731350819551967,All Combined
NerCla,-1.5707028076592024,1.3310997617135634,All Combined
NotSar,-0.2833546147458783,0.004198968410082049,All Combined
OedFus,-0.9722149859383554,-1.4695261499957784,All Combined
OedGib,1.9834973488815189,-1.469207464061248,All Combined
OryAng,-1.682445105899009,1.94892338421434,All Combined
OzyCla,-1.34587222665059,-2.41974898164941,All Combined
OzyPra,-0.732478524954331,-1.241922448942543,All Combined
OzyTru,0.18914403917826217,-0.674795133678554,All Combined
PacCle,-0.09973535159745717,-1.914592924650585,All Combined
PacDeg,-0.8650069081646286,-1.7262531499544873,All Combined
PacLis,0.6519176910891904,1.2508627020966752,All Combined
ParAla,4.225975103482084,-0.0875911271653278,All Combined
ParAme,1.1779719044750177,-2.120249387373669,All Combined
ParLug,4.09800013795701,1.4374020494610957,All Combined
ParPal,-0.8339496960744183,-2.8651343070997264,All Combined
ParPra,0.5508597064893319,-1.7547785868578014,All Combined
ParPul,-0.4005835050038577,-0.7137184265196985,All Combined
ParRip,0.23759704063769105,2.5880087340761952,All Combined
PelRad,2.7406308925317324,1.341050990231552,All Combined
PhrFes,-1.387972827460322,2.4668452112967136,All Combined
PirPir,-0.010472986215581237,0.12655632829336216,All Combined
PirPis,-0.3942820532754809,-0.4693984189772996,All Combined
PirTen,-1.248613495732759,0.06287280818225005,All Combined
PirHyg,1.8458682491089575,0.3375842199165613,All Combined
PirLat,-0.111569474065223,-1.1563825275540576,All Combined
PirUli,0.5889155162077528,1.7029956097358228,All Combined
PocJun,-0.20377733740202664,-0.08437471868949942,All Combined
PocPum,-0.23188087637629506,-0.020139106130343754,All Combined
RobAru,-0.513073515324811,0.6205350764958149,All Combined
SibAur,0.2620062748353378,-1.2410349280131991,All Combined
SilEle,-0.08789221249791201,-1.4293400643357108,All Combined
TalExp,0.5819447751546627,0.02957024286681631,All Combined
TenFla,-1.2894087905931546,0.8707983090780647,All Combined
TenTen,-1.4850231466928585,0.8761517222005222,All Combined
ThaStr,-0.6479259621073783,-0.36754533725794114,All Combined
TmeAff,-1.682445105899009,1.94892338421434,All Combined
TroSpe,-0.054643114488854616,0.8756027872742975,All Combined
TroSpi,0.9075810206674559,0.13659979740187378,All Combined
TroTer,0.08857825236546468,1.523590194705303,All Combined
WalAlt,-1.446010170520031,1.9353943644208211,All Combined
WalAtr,4.098772163178241,-0.0870971929952642,All Combined
WalDys,4.236613626552695,0.8736183275596323,All Combined
WalFur,1.6268483497479058,2.046722864780413,All Combined
WalKoc,-0.6379683164599761,-0.5536182380971354,All Combined
WalVig,-0.25362758710395605,-1.9361053128714296,All Combined
XysBif,-0.7740568237168567,-1.6687556554101886,All Combined
XysCri,-0.496881346877198,-0.7063178532838887,All Combined
XysKoc,0.10882058364787972,-1.479520381218268,All Combined
XysUlm,-0.047623833263537696,-0.17848224454660477,All Combined
ZelLat,-0.22074929746964722,1.5083006985649812,All Combined
