Locality,DCA1,DCA2,Dataset
BBN_A,-0.3397575545496565,-0.37080156900502126,Kveten Month
BBN_B,-0.2336477278512774,0.040706361548311865,Kveten Month
BHN_A,0.06453814434746352,-0.8498906972950687,Kveten Month
BHN_B,0.03178769574681384,-0.5225983874188066,Kveten Month
BZN_A,0.3444390064953058,-0.7581278418931079,Kveten Month
BZN_B,0.1851158889372999,-0.08138003845513198,Kveten Month
BRK_A,-0.0019076129268006392,-0.20689234066329276,Kveten Month
BRK_B,-0.1283355518882564,-0.5676212360047747,Kveten Month
DVR_A,-0.21908725155416542,1.01463586001106,Kveten Month
DVR_B,-0.17497397734561693,1.5850070137375523,Kveten Month
HLN_A,-0.39206556875140475,0.8567634141378655,Kveten Month
HLN_B,0.09904677093733594,0.49928198840813276,Kveten Month
HVZ_A,-0.26471554035394207,0.5669981328949281,Kveten Month
HVZ_B,0.8888489996803903,1.0668697989836076,Kveten Month
HRD_A,-0.21746168953646683,-0.7572657957780453,Kveten Month
HRD_B,0.04590998083253328,-0.5735059006372918,Kveten Month
HRC_A,0.36036373604353544,-0.39146133874734534,Kveten Month
HRC_B,0.259141389966868,0.18182485475778787,Kveten Month
CHV_A,-0.1683154217379187,-0.1530601135232934,Kveten Month
CHV_B,0.32071744119388534,0.5190105186965781,Kveten Month
KLS_A,0.22163595982391104,-0.42193727051312546,Kveten Month
KLS_B,0.5171292959424318,-0.722542976465981,Kveten Month
KCD_A,0.05091635959407892,0.3528998903561462,Kveten Month
KCD_B,-0.36532644253682245,0.4003606516869951,Kveten Month
KKL_A,-0.5901795294778129,-0.06185571305432602,Kveten Month
KKL_B,-0.9528866135519792,-0.668093173041244,Kveten Month
LCL_A,0.08586475051161968,-0.11702094062431168,Kveten Month
LCL_B,0.30642709324565764,0.010240688240269025,Kveten Month
LVJ_A,-0.26168741592349687,-0.510959250693242,Kveten Month
LVJ_B,0.06263063577363792,-0.8705033910241423,Kveten Month
NSV_A,0.9028454357692348,-0.861292652902352,Kveten Month
NSV_B,0.6817526945727146,-1.304953638187506,Kveten Month
OKL_A,-0.017509027512985553,-0.7405893956360105,Kveten Month
OKL_B,0.007916335561574894,-0.31714716165383017,Kveten Month
NVS_A,-0.333759948267664,-1.5077540994202987,Kveten Month
NVS_B,0.5869803167875052,-0.5829019125384887,Kveten Month
PRZ_A,0.5067600992004835,-0.9186725345110376,Kveten Month
PRZ_B,0.6045447997735147,-0.7037238051868454,Kveten Month
PKV_A,-0.28782377743207077,-0.2484625160866707,Kveten Month
PKV_B,-0.22523991062175308,-0.25326681297221043,Kveten Month
RTR_A,-0.09300012289722093,-1.1450042306646369,Kveten Month
RTR_B,-0.0848726019750975,-0.36818754145953436,Kveten Month
STR_A,-0.391842480087102,0.6351746574477188,Kveten Month
STR_B,-0.33593760005752493,1.0053297899203824,Kveten Month
SVD_A,-0.22046848750116754,1.33113312153662,Kveten Month
SVD_B,-0.3151309121442615,1.2655343509738655,Kveten Month
SFR_A,0.16236254797184735,-0.4891280372455242,Kveten Month
SFR_B,0.0419546764579638,0.03220867035118724,Kveten Month
VLS_A,0.0818759632059447,-0.46178138796079415,Kveten Month
VLS_B,0.25255346852910265,-0.4014660791753497,Kveten Month
VRJ_A,-0.12265540861042923,0.3830298162230992,Kveten Month
VRJ_B,-0.3394060953317375,1.1028775797717596,Kveten Month
ZHJ_A,-0.05982736877503836,-0.1182983543572258,Kveten Month
ZHJ_B,0.14791984978022588,-0.14098336529495548,Kveten Month
ZLM_A,-0.14322787453656494,-0.7367430466161343,Kveten Month
ZLM_B,0.11250780526315518,0.580457087538752,Kveten Month
ZMB_A,0.5459695752565097,0.590933832212271,Kveten Month
ZMB_B,3.6179351302187106,0.2614159508295022,Kveten Month
ZMK_A,-0.8756294361208689,0.9496284197676974,Kveten Month
ZMK_B,-0.2213876403945655,1.0614344362778703,Kveten Month
