Locality,DCA1,DCA2,Dataset
BBN_A,0.06859310261521223,-0.3713852372240627,Pasti Cerven
BBN_B,-0.5748152477110071,-0.852666777861455,Pasti Cerven
BHN_A,0.3322407620516441,0.0893319852806358,Pasti Cerven
BHN_B,0.08574571707954837,-0.1991391989229352,Pasti Cerven
BZN_A,0.8578180344296151,-0.44785101786136705,Pasti Cerven
BZN_B,0.2456337811602336,0.203023156794075,Pasti Cerven
BRK_A,0.0825919568584732,0.07944006926071623,Pasti Cerven
BRK_B,-0.017990497085141666,-0.060981647771315206,Pasti Cerven
DVR_B,0.9222171857435502,0.9260229471797334,Pasti Cerven
HVZ_A,-0.59747495177248,1.4586399767738953,Pasti Cerven
HVZ_B,-0.5634203478474944,2.1941933346037517,Pasti Cerven
HRD_A,-0.5421646886286371,0.999517613656955,Pasti Cerven
HRD_B,-0.5511468832340332,-0.8152313881357587,Pasti Cerven
HRC_A,0.06681591212733462,0.48077755131250477,Pasti Cerven
HRC_B,0.8936850380824826,-0.3772044255981244,Pasti Cerven
CHV_A,-0.5136347201919982,-1.0047178176241869,Pasti Cerven
CHV_B,-0.12023819705965444,0.20740118750515268,Pasti Cerven
KLS_A,0.09858863834859521,-0.16645605649148365,Pasti Cerven
KLS_B,0.4973685087927966,0.4433218537496706,Pasti Cerven
KCD_A,0.12473605983742919,0.242583402879625,Pasti Cerven
KCD_B,-0.31841150061179446,-0.884562435338923,Pasti Cerven
KKL_A,-2.0287138666088764,0.025784121467459897,Pasti Cerven
KKL_B,-1.3597429224899997,-0.46264983937540216,Pasti Cerven
LCL_A,0.47665499546514933,-0.07347215182122824,Pasti Cerven
LCL_B,0.20140643211439313,-0.3772809890232762,Pasti Cerven
LVJ_A,0.17515400698687777,-0.112032196782347,Pasti Cerven
LVJ_B,0.5963788822872527,-0.17293967229251672,Pasti Cerven
NSV_A,-0.23197845225555436,-0.3250305642046851,Pasti Cerven
NSV_B,0.25929278300158387,0.16058438135717568,Pasti Cerven
OKL_A,0.049704916512579356,-0.14405474393862772,Pasti Cerven
OKL_B,-0.013100352601104426,-0.9037329754301737,Pasti Cerven
NVS_A,-0.20964470186979445,-0.5943740516570772,Pasti Cerven
NVS_B,0.6466864748552976,0.4444960249157881,Pasti Cerven
PRZ_A,0.26734389856999297,-0.031459867206013126,Pasti Cerven
PRZ_B,1.3617646777752905,0.2550890671719852,Pasti Cerven
PKV_A,0.16279500218038923,-0.0391241156822848,Pasti Cerven
RTR_A,0.9922696602785357,0.11663733405675591,Pasti Cerven
RTR_B,-0.45728421918794426,-2.2241226183420264,Pasti Cerven
STR_A,-0.8191961912379504,-0.6216581223127631,Pasti Cerven
STR_B,-0.8290786686075562,0.18018730871801303,Pasti Cerven
SVD_A,-0.9257121706812095,0.0035274400663434236,Pasti Cerven
SVD_B,-1.0420820253273693,0.337338441670604,Pasti Cerven
SFR_A,0.2550561693106368,-0.554415569417529,Pasti Cerven
SFR_B,0.5709457311074777,0.25977314854991373,Pasti Cerven
VLS_A,-0.48456017237342763,-0.2822531637098782,Pasti Cerven
VLS_B,-0.10745105943974198,-0.18420827455917133,Pasti Cerven
VRJ_A,0.4765504853133158,-0.006838946445841376,Pasti Cerven
VRJ_B,-0.9346998781008757,1.6926831634146207,Pasti Cerven
ZHJ_A,-0.7654598728186326,-1.4168676623875371,Pasti Cerven
ZHJ_B,0.6204740557373998,0.23582369610941356,Pasti Cerven
ZLM_A,-0.25120829388917665,0.7595559691715774,Pasti Cerven
ZLM_B,0.2310554977998569,0.07048851891201124,Pasti Cerven
ZMB_B,3.7017403800848308,0.5577054999968758,Pasti Cerven
