,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
,,,,Bažanka,Bažanka,Borky,Borky,Chvojnov,Chvojnov,Dvo?išt?,Dvo?išt?,Hliní?,Hliní?,Hovízna,Hovízna,Hrachovišt?,Hrachovišt?,Hráde?ek,Hráde?ek,Kališt?,Kališt?,Kukla,Kukla,Oklika,Oklika,Nad Svitákem,Nad Svitákem,Sta?kovský ryb.,Sta?kovský ryb.,Starý Vdovec,Starý Vdovec,V Lisovech,V Lisovech,V Rájích,V Rájích,Zhejral,Zhejral,Žemli?ka baz,Žemli?ka baz,Žemli?ka kys,Žemli?ka kys,Babín,Babín,Bahna,Bahna,Kocanda,Kocanda,Louky u ?erného lesa,Louky u ?erného lesa,Louky v Jeníkov?,Louky v Jeníkov?,Návesník,Návesník,Pa?ez,Pa?ez,Pod kamenným vrchem,Pod kamenným vrchem,Ratajské rybvníky,Ratajské rybvníky,Šafranice,Šafranice,Zlámanec,Zlámanec,
,,,,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,a,b,a,b,a,b,a,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,
No.,Group name:,,,Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,
52,CL00065,Hyaloscyphaceae_sp,f_Hya065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64,0,0,0,0,0,0,0.01,0.076608784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.31,0,0,0,0,0.01,0,0,19.06660878
54,CL00051,Galerina_paludosa,GalPal,0,0,0,0,0.25,0,0.83,0.01,8.25,0.240260855,0.182972769,0.01,0,1.48,0,0,0,0,0.48,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.08,0.02,0.69,5.93,0,0,0.188857413,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,18.76209104
53,CL00076,Hyalodendriella_sp,Hya076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49,18.56
55,CL00067,Variocladium_giganteum,VarGig,0.01,0.12565445,0,0,0,0,0,0,0,0,0,0,0,0,12.21,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,1.52,0.02,0.076608784,0,0,0,0,0,0,0,0,0,0,0.011344299,0,0,0,0,2.24,0,0,0,0,0,0.8,0,1.22,0,18.46360753
56,CL00055,Auriculariales_sp,o_Aur055,0,0,0,0,0,0,0,0,0,0.411875751,1.775912173,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45778792
95,CL00142,Xenopolyscytalum_sp,Xen142,0,0,0.01,0,0,0,0,0,0,0,1.183941449,0.22,0.28,3.95,0,0,0,0,0.01,0.14,0,0,0,0,0,0,0.28,0.11,0,0,0.6,0.256866232,0,0,10.82737487,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,17.98818255
57,CL00034,Atractiellales_sp,o_Atr034,0,0,0,0.16,0.03,0,0.54,0.04,0,0,0.118394145,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0.26,0.33,0.07,0,0,0,0,0,0.75,0,0,0.69,0,0.02,0,4.76,0,0,0,0,0,0.01,0,0,0,0,0,2.29,0.1,0,0,0,0,0,0,17.91839414
63,CL00074,Hyaloscypha_sp,Hya074,0,0,4.11,0,0.28,0,0,0,0,0,0.032289312,2.6,0.05,0.17,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.889152341,0.01,0.88,0,0,0,0,0,0.17,0.42,1.11,0.472143532,0,2.488664987,0,0,0,0,0.01,1.8,0.78,0,0.05,0.58,0.05,0,0,0,0.74,17.80225017
59,CL00045,Arachnopeziza_sphagniseda,AraSph,0,0,0,0,0.01,0,0,0,6.56,0.257422344,0,0.06,2.57,4.49,0,0,0,0,1.79,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29742234
61,CL00037,Venturia_sp,Ven037,0,0.104712042,0,0,0,0,0,0.04,0,0,0,0,0.01,0.15,0.1,0,0.01,0.02,0.01,0.15,0,0,0.01,0,9.29,0.9,0.58,0,0,0,0,0,0.72,0,0.051072523,0,0,0.01,4.2,0,0,0,0,0,0,0,0,0,0,0,0.37,0.2,0.02,0,0,0,0.03,0,0,0.19,17.16578456
60,CL00044,Talaromyces_sp,Tal044,0.01,0,0,0,0,0,0.01,2.84,0.22,0.051484469,0,0.35,0,0,0,0,0,0,4.33,0.13,0,0,0,0,0,0.69,3.56,1.27,0,0,0.02,0,0,0,0,0.1,0.18,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,17.16148447
62,CL00062,Lecanorales_sp,o_Lec062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,17.04
82,CL00080,Chloridium_humicola,ChlHum,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.02,0.19,0.06,0.01,0,3.3,0.019409938,0.04,0,0,0,0,0,0,0,0.23,0,8.79272871,0,0.51,0,1.02,0,0,0,0,0,0,0,1.02,0.282115869,0.068065797,0,0,0,1.01,0,0.16,0,0,0.03,0,0,0,0,0,16.85232031
64,CL00020,Leptodontidium_sp,Lep020,0,0,0,0,0,0,0,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,16.81
65,CL00089,Articulospora_sp,Art089,0,0.010471204,0,0,0.09,0,0,0,0,0,0,0.38,0,0,0.08,0.1,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.36,0,0.01,0.15,0.025536261,0.12,0,0,0,0.07,0.01,0.08,0.047214353,0,0.060453401,0.079410096,0,0,0.11,0.01,5.38,2.63,0.27,0,0.84,1.46,3.28,0.05,0.07,0.43,16.51308532
66,CL00064,Plectosphaerella_sp,Ple064,0.25,2.230366492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.116459627,0.46,0,0,0,0,0,0,0.02,1.43,0,0,11.51,0,0,0,0,0,0,0,0,0,0,0,0.010075567,0,0,0.383973289,0.05,0,0,0,0,0,0,0,0,0,0,0,16.47087498
68,CL00092,Rutstroemia_henningsiana,RutHen,0,0,0.11,0.05,0,0.18,0,0,0,0,0,0,1.2,2.55,0.09,0,0.02,0,0,0,0,0,1.63,0,0,0,0,0,0,0.01,0,0,1.06,0.05,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.834724541,0.02,0,7.82,0.04,0.22,0,0,0,0,0,0,0,16.15472454
67,CL00032,Venturia_sp,Ven032,0,0.408376963,0.01,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0.03,0.18,0,0,0,0,0,0,13.13,0.22,0.02,0,0,0,0,0,0.27,0.01,0,0,0,0,0.13,0,0.04,0,0,0,0,0.022688599,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,15.98106556
71,CL00061,Cistella_typhae,Cis061,0.01,0.136125654,0.24,0.05,0,0,0,0.04,1.03,0.257422344,0,0,1.2,0.02,2.47,0.1,0.07,0.1,0.02,0,0,0,0.13,0,0.88,1.53,0.02,0,0.03,0.18,0,0,1.13,0.32,0.102145046,0,0,0,0.22,0.01,0.34,0.04,0,0,1.309823678,1.747022121,0.02,0.267111853,0.01,0.04,0.38,0.08,1.03,0.18,0,0.05,0.19,0,0,0,15.9796507
69,CL00023,Geoglossum_simile,GeoSim,0,0,0,0,0,0,0,0.11,0,0,0.785706598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,15.8057066
70,CL00108,Clavariaceae_sp,f_Cla108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,15.57
72,CL00101,Renatobasidium_sp,Ren101,0,0,0,0,0,0,0,0,0,0,0.032289312,0.1,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,5.54,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,15.36228931
74,CL00053,Cistella_sp,Cis053,0.02,0.32460733,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.16,0.09,0,0,0.582298137,0.45,0.55,0.075260725,0,2.33,0,0,0,0.17,0.11,0,0.01,0.19,0.17875383,0,0,0,0,0,0.57,0,0.094428706,0.73,0.060453401,0.317640386,0.22,0.601001669,5.28,0.15,0,0.11,0,0,0.01,0.09,0.03,0.67,0.7,0.01,15.35444418
86,CL00138,Branch03_sp,p_Roz138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0.35,0,0.02,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,4.749744637,0,0,0,0,0,0,0,0,0,0.675062972,0.22688599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1216936
73,CL00078,Tomentella_sp,Tom078,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06
103,CL00121,Sphagnurus_paluster,SphPal,0,0,0,0,0,0,0,0,0.18,11.8929123,0,0,0.17,0,0,0.01,0,0,0.02,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,14.9929123
77,CL00072,Sclerostagonospora_sp,Scl072,0.14,0.638743455,0.26,0.02,0,0.41,0,0,0,0,0,0,0.07,0.49,0.02,1.48,0.33,0.65,0,0.06,0.349378882,1.94,0.04,0.010751532,0,0,0,0,0.31,0.88,0.01,0,0.08,0.49,0,0,0,0,0,0,0.36,0.23,0,0.07,0.090680101,0.930232558,0,0.801335559,1.96,0.53,0.01,0.5,0,0,0,0.25,0.04,0.2,0,0.03,14.68112209
75,CL00134,Capronia_sp,Cap134,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.039517882,0,0.05,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0.74,14.53951788
76,CL00079,Xylariales_sp,o_Xyl079,0,0,1.57,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,1.19,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,0.022688599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4926886
79,CL00048,Lactarius_rufus,LacRuf,0,0,0,0,0,0,0,0,0,0.90955895,0,0,0,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,13.87955895
78,CL00057,Capronia_sp,Cap057,0,0,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71
80,CL00085,Leptodophora_orchidicola,LepOrc,0,0.010471204,0,0.01,0.12,0.08,0,0,0,0,0,0.04,0,0,0.06,0,0,0.3,0,0.69,0.116459627,0.05,0.01,0.333297495,0,0,0,0,0.08,0.24,0.21,0,0.02,0.03,0,0,0,0,0,0,0.33,0.03,0.047214353,1.04,0.282115869,0.079410096,0,0.851419032,1.55,0.08,0.55,1.09,0,0,0.05,0.71,1.04,0.16,0.61,2.48,13.38038768
88,CL00116,Orbilia_ellipsospora,Orb116,0.06,0.157068063,0,0,1.26,0.04,0,0.01,0,0,0.032289312,0.01,0.04,0,3.18,0.01,0.14,0.09,0,0.22,0.058229814,0,0.4,0,0,0.05,0,0,0,0.81,0.05,0.039517882,0.5,0.06,1.430030644,0,0,0,0.01,0,0.41,0.08,0,0,2.44836272,0.22688599,0.03,0,0.04,0,0.18,0,0,0,0.73,0,0.16,0,0.12,0,13.08238442
87,CL00179,Auriculariales_sp,o_Aur179,0,0,0,0,0,0,0,0,0,0,13.04488214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05488214
81,CL00107,Cudoniella_sp,Cud107,0,0,0.48,0.12,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,2.26,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
83,CL00081,Pseudoechria_curvicolla,PseCur,0.17,0.335078534,0.1,0.07,0.08,2.76,0,0,0.13,0.120130427,0,0.01,0.22,0.07,4.94,0.87,0.12,0.19,0,0.01,0,0,0,0,0.05,0.01,0,0.06,0.02,1.1,0,0.019758941,0,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.11,0,0,0.12,0.71,0,0,12.5349679
84,CL00159,Lachnum_sp,Lac159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12.39
85,CL00083,Apenidiella_sp,Ape083,0,0,0,0,0.31,6.45,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,1.25,0,0,0,0,0,0.04,2.33,0.14,0,0.03,0.94,0.127681307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.26,0,0,12.34768131
89,CL00123,Russula_caerulea,RusCae,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08
90,CL00049,Hyaloscypha_sp,Hya049,0,0,0,0,0,0,0,0,0.11,0.46336022,0,0,0.06,0,0,0,0,0,0.01,0,0,0,0,0,7.33,2.09,1.94,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,12.02336022
93,CL00082,Mycena_galopus,MycGal,0,0,0,0,0,0,0,0.33,0.18,1.115496825,0,0.79,0,0,0,0,0,0.01,0.49,0.05,0,0,0,0,0.59,4.41,0,0.13,0,0,0,0.118553646,0,0.71,0,0,0,0.3,2,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98405047
97,CL00114,Apiospora_arundinis,ApiAru,0.01,0,0,0,1.51,0.23,0.01,0,0,0,0.182972769,2.76,0.01,0.02,0,0,0,0,0,0,0.019409938,0,0,0,0,0,0,0.02,0.01,0,0.01,0.098794705,0,0,1.506639428,0.28,0,0.03,0,0,0,0.64,0,0.04,0,0,0.01,0.016694491,0,1.05,0.11,0.25,0,0,0,0,2,1.04,0,0.06,11.92451133
94,CL00156,Ascomycota_sp,p_Asc156,0.08,0.157068063,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.08,0.24,0,0.14,0,0,0.02,0,0,0,0,0,0.06,0.14,0.03,0,0.07,0,0.153217569,0,0,0,0,0,0.36,0.11,0,0,0.050377834,2.711287578,0.04,0,0.11,0,6.56,0.02,0,0,0,0.02,0.01,0,0,0,11.66195104
91,CL00060,Physalospora_vaccinii,PhyVac,0,0,0,0,0,0,0,0,10.05,0,0,0,0,0,0.01,0,0.09,0,1.3,0,0,0,0,0,0,0,0,0,0.06,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58
96,CL00104,Fusarium_sporotrichioides,FusSpo,0.07,0.104712042,0.05,0,0.12,0.05,0,0,0.01,0,0.096867937,0.11,0.23,0.36,0,0.08,0.08,0.98,0.03,0.51,0.077639752,0.25,0.71,0.827867971,0.01,0,0,0,0.03,0.06,0.19,0.276625173,0,0.06,0.255362615,0,0,0,0.03,0,0.04,0.03,0.047214353,1.66,0.050377834,0.328984685,0.03,0.100166945,0.19,0.2,0.03,0.21,0,0.02,0,0.94,0.23,1.74,0,0.04,11.54581931
92,CL00093,Podospora_sp,Pod093,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0.07,0.11,0,0,0,0,0,0,0,0,0.01,0,0.04,0.24,0,3.91,1.319899244,0,0.28,0,0,5.04,0,0.01,0,0,0,0.02,0,0.06,0,0.08,11.50989924
109,CL00149,Trematosphaeria_sp,Tre149,0.01,0.471204188,0,0,0.02,0.05,0,0,0,0,0,0,0,0.01,0.03,3.47,0,0.77,0,0.09,0,0,0.89,0,0,0,0,0,0.01,0.07,0,0,0.01,0,0.255362615,0,0,0,0,0,0.63,0.01,0,0,0,0.011344299,0.06,3.839732888,0.09,0,0,0.01,0,0,0,0.11,0.21,0.03,0,0,11.15764399
99,CL00170,Gorgoniceps_sp,Gor170,0,0,0,0,0.22,0,0,0,0,0.823751502,1.549886987,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10363849
98,CL00070,Podila_horticola,PodHor,0,0,0.01,0,0,0.11,0,0,0,0,0,0,0,0.01,0,0,0.01,0.15,0,0.47,0.019409938,0.11,0,0,0,0,0,0,0,0.12,0,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0.03,0,0.011344299,0,0.050083472,0.44,0.1,0,0.19,0,0,0,1.23,0.05,7.48,0.04,0.04,10.73083771
100,CL00056,GS29_sp,c_Aga056,0,0,2.76,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42
101,CL00095,Chloridium_caudigerum,ChlCau,0,0,0.12,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.03,0,0,0,0,0,0,0,0.06,0,0,0,8.01,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.45,0,0,0,0.38,10.31
102,CL00100,Chaetomiaceae_sp,f_Cha100,0.03,1.455497382,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.155279503,0.2,0,0,0,0,0,0,0,0.25,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26077689
107,CL00201,Pezizaceae_sp,f_Pez201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03117944,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19117944
104,CL00128,Schizothecium_sp,Sch128,0,1.706806283,0.01,0,0,1.36,0,0,0.02,0.01716149,0,0,0,0.07,0,0.09,0.01,0.1,0,0.01,0,0.44,0.07,0,0,0.01,0.01,0,0.1,4.83,0,0,0,0,0,0,0,0,0,0.01,0.04,0,0,0,0,0.034032898,0,0.066777963,0,0.02,0.01,0.02,0,0,0,0,0,1.01,0,0,10.06477863
105,CL00054,Hyaloscypha_sp,Hya054,0,0,0,0,0,0,0.59,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.33,0,1.46,0,0,0,0,0,0,0,0,0,1.64,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,1.45,0,0,0,0,0,0,9.81
106,CL00094,Sordariales_sp,o_Sor094,0,0,0,0,0,0,1.85,0.23,0.75,0,0.624260037,0.04,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.92,0.04,0,0,0,0,0,0,0,0,0.74,0.09,0.8,1.79,0,0,0,0,0,0,0.07,0,0,0,0,0,1.42,0.33,0,0,0,0,0,0,9.744260037
112,CL00145,Sympodiella_sp,Sym145,0,0,0,0,0,0,0,0,0,0,0,0.16,0.03,4.41,0.01,0,0.02,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0.561797753,0.1,0.03,0,0,0,0,0,0,0.05,0.050377834,0.022688599,0,0,0,0,0,0.02,0,0,0,0,0,0,0,3.6,9.584864186
108,CL00139,Leotiomycetes_sp,c_Leo139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,1.7,0,0,9.46
110,CL00086,Mortierella_sp,Mor086,0,0,0.15,0,0,0.27,0,0,0,0,0,0.01,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0.01,0.09,0.02,0,0.02,0,0,0,0,0.97,0.11,0,0.02,0,0,0,1.2,1.21,5,0,0.21,9.4
111,CL00077,Leotiomycetes_sp,c_Leo077,0,0,0,0,0,0,0.38,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,6.61,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29
113,CL00097,Chaetosphaeria_sp,Cha097,0,0,0,0,0,0,0.1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0.03,0,0,0,0.118553646,0,0,0,0,0.12,0.3,0.09,2.54,0.04,0,0.094428706,0,0,0,0,0,0,0,0,0,0.02,0.59,0,0,0,0,0,0,9.272982352
114,CL00178,Serendipita_sp,Ser178,0,0,0,0,0,0,0,0,1.47,0,0.602733828,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.162733828
120,CL00119,Vishniacozyma_carnescens,VisCar,0.16,0.314136126,0.03,0,0.15,1.23,0.01,0.03,0.01,0,0.010763104,0,1.14,0.26,0.11,0.22,0.18,0.06,0,0.4,0,0.26,0.64,0.150521449,0,0.02,0,0,0.3,0.55,0.43,0.276625173,0.11,0.12,0.280898876,0.02,0,0.01,0.07,0,0.01,0.01,0.047214353,0.11,0,0.113442995,0.02,0.300500835,0.05,0.01,0.01,0.27,0.01,0,0,0.07,0.19,0.22,0.01,0.15,9.154102911
117,CL00218,Serendipita_sp,Ser218,0.02,6.523560209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05375766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.005037783,0,0,0,0,0,0.48,0.01,0,0,0,0,0,0,0,0,9.092355653
116,CL00084,Conioscyphaceae_sp,f_Con084,0,0,0,0,0.21,0,5.13,0.04,0,0,2.131094608,0,0,0,0.17,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019758941,0,0,0,0,0,0,0,0,0,0,0,0,1.219143577,0.011344299,0,0,0,0,0,0,0.09,0.01,0,0,0,0,0.02,0,9.081341425
115,CL00099,Chloridium_chlamydosporum,Chl099,0,0,0,0,0.01,0,0.37,0.23,0,0,0,1.48,0,0.03,0.01,0,0.01,0,0,2.22,0,0,0,0,0,1.53,0,0,0,0,0,0.197589409,0,0.09,0.025536261,0,0,0.27,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,9.063125671
119,CL00112,Serendipita_sp,Ser112,0.24,0,0.63,0.84,0.05,0,0,0,0,0,0.118394145,0,0.44,0.78,0.29,0.05,0.1,0.51,0,0.39,0.038819876,0,0.11,0,0,0,0,0,0,0.17,0,0,0.17,0.14,0.536261491,0,0,0,0,0,0.21,0.19,0,0.08,0.040302267,0.090754396,0.03,0,0.45,0.01,1.36,0.68,0,0,0,0,0.24,0.03,0,0.01,9.024532175
127,CL00214,Auriculariaceae_sp,f_Aur214,0,7.717277487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621118012,0.04,0,0.150521449,0,0,0,0,0.37,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.998916949
121,CL00106,Periconia_sp,Per106,0.06,0.104712042,0.05,0,0.01,0.34,0,0,0,0,0.010763104,0,2.51,0.47,0.01,0.08,0.05,0.06,0.02,0.14,0.194099379,0.56,0.66,0.021503064,0,0,0,0,1.1,0.34,0,0,0.02,0.04,0.076608784,0,0,0,0,0,0.17,0.08,0.047214353,0,0.0302267,0.011344299,0.05,0.20033389,0.24,0.01,0.18,0.06,0,0,0,0.36,0.26,0.15,0.02,0.07,8.866805616
118,CL00105,Cyphellophora_sp,Cyp105,0.02,0.031413613,0,0,0.02,0.2,0,0,0,0.01716149,0,0,0.06,0.2,0.02,0.83,0,0,0,0.17,0,0,0,0.032254596,0,0,0,0,0,0.13,0,0,0,1.56,0.229826353,1.64,0,0,0,0,0,0.18,0,0,0.080604534,0,0,0.100166945,0.04,0.42,0.09,2.74,0,0,0,0,0,0.02,0,0.02,8.851427531
