Locality,LOC,PLOT,FULL_NAME,pH_adjusted,Algoscore,Moisture_Topsoil,WTD_median,F_CLASS_median,EIV_weighted_by_species_ranges_and_covers,EIV_unweighted,Alkalinity,pH_soil,TOC,TN_sqrt,PO4_log,Cl_log,NO2,SO4_log,NO3_log,F,HCO3_sqrt,NH4 _log,K_log,Na,Li,Mg_sqrt,Sr_sqrt,Ba_sqrt,Ca_sqrt,Fe_log,Mn_log,Zn_log,Al_log,Age,Age_Reg5km,Age_Reg25_km,Aream2,Areakm2
KKL_B,KKL,B,Kukla B,5.09,2,2,6,6,8.21,8.12,0.8,4.7,431,1.780449381,-1.677780705,0.696356389,0.010155899,-0.397940009,-0.698970004,0.001851306,3.974921383,-0.602059991,0.419955748,3.82,0.008879063,1.410673598,0.223606798,0.05,3.193743885,1.008600172,-0.677780705,-1.15490196,0.603144373,60,60,10939,5816,0.006
KLS_A,KLS,A,Kališt? A ,5.87,2,2,4.5,4,8.24,7.66,3.2,4.8,309,1.679285562,-1.795880017,0.761175813,0.024603441,-0.292429824,-1.381434723,0.11,10.63014581,-0.698970004,0.10720997,8.89,0.01,3.130495168,0.447213595,0.03,5.08920426,2.707570176,1.33243846,-0.113509275,0.887054378,6234,6234,11997,8011,0.008
KLS_B,KLS,B,Kališt? B,5.84,4,4,11,5,7.92,8.12,2.66,5.2,394,1.749285568,-1.886056648,0.793790385,0.026615555,-0.301029996,-0.823908741,0.15,9.316651759,-0.795880017,0.269512944,7.3,0.0075172,2.898275349,0.412310563,0.005324617,4.939635614,2.123851641,0.155336037,-0.823908741,0.77524626,6234,6234,11997,8011,0.008
LCL_A,LCL,A,Louky u ?erného lesa A,6.32,3,2,8,6.5,7.95,7.57,0.57,5.4,346,1.456021978,-1.468521083,0.891537458,0.010219868,1.152288344,-1.531443346,0.006168571,8.136338243,-1.15490196,-0.075720714,8.34,0.01,1.907878403,0.264575131,0.000647208,3.714835124,1.463892989,-0.638272164,-0.853871964,1.348304863,3662,4393,13918,9422,0.009
LCL_B,LCL,B,Louky u ?erného lesa B,6.32,4,2,5,6,8.43,8,0.54,4.8,254,3.885871846,-0.458420756,0.29666519,0.028311196,0.004321374,-2.583730719,0.012419526,9.16515139,-0.508638306,-0.251811973,6.56,0.005555952,1.428285686,0.2,0.002618162,3.464101615,2.029383778,-0.040958608,-0.301029996,1.92890769,3662,4393,13918,9422,0.009
LVJ_A,LVJ,A,Louky v Jeníkov? A,6.28,4,2,9,6.5,7.86,7.45,0.54,5.6,394,1.64924225,-1.823908741,0.965201701,0.038453145,-0.091514981,-2.335205251,0.08,9.37016542,-1.22184875,0.372912003,10.2,0.006327654,2.523885893,0.346410162,0.006776524,4.837354649,1.547774705,-0.236572006,-1.397940009,0.484299839,11243,12998,13918,6977,0.007
LVJ_B,LVJ,B,Louky v Jeníkov? B,6.4,5,3,6.5,6,8.03,7.69,0.57,5.3,166,1.870828693,-1.259637311,0.688419822,0.04125128,0.662757832,-1.397940009,0.16,11.5758369,-0.522878745,0.243038049,8.11,0.001901993,2.685144316,0.4,0.12,5.670097001,3.08350262,1.527887566,0.260071388,2.053078443,11243,12998,13918,6977,0.007
NSV_A,NSV,A,Nad Svitákem A ,6.77,2,1,1.5,2.5,8.56,7.87,1.25,5.3,424,0.92736185,-2.22184875,1.079181246,0.034790718,1.220108088,-1.676247411,0.08,5.558776844,-1.743972151,0.164352856,10.7,0.02,2.256102835,0.173205081,0.005864617,2.123676058,1.589949601,0.071882007,-1.22184875,0.1430148,11563,11563,11997,3504,0.004
NSV_B,NSV,B,Nad Svitákem B,6.77,4,3,7.5,5,7.56,7.54,3.49,5.8,408,1.902629759,-1.37675071,1.033423755,0.035289293,0.705863712,-1.858046575,0.1,11.48912529,-0.886056648,0.730782276,9.25,0.01,2.525866188,0.412310563,0.004885131,5.049752469,1.668385917,0.959041392,-0.420216403,0.737987326,11563,11563,11997,3504,0.004
NVS_A,NVS,A,Návesník A,6.16,3,3,10,7,7.88,7.65,0.68,5.7,256,1.705872211,-1.522878745,0.763427994,0.016908043,-0.075720714,-1.522568405,0.09,7.300684899,-0.853871964,0.045322979,5.16,0.007870346,2.092844954,0.360555128,0.07,3.834057903,2.113943352,0.5774918,-0.200659451,1.951337519,11747,12998,13918,11538,0.012
