"Interaction","AIC_base","AIC_interaction","Delta_AIC","Chi_sq","p_value","Significant","Response"
"NIB5 × pHadj",202.208494080828,198.868424580691,-3.3400695001371,5.34006950013715,0.02084064217066,TRUE,"IslBryVas2"
"DNSS × pHadj",202.208494080828,204.164565817754,1.95607173692548,0.043928263074541,0.833987135873896,FALSE,"IslBryVas2"
"NIB5 × DNSS",202.208494080828,203.7343640924,1.52587001157153,0.474129988428501,0.491093291264857,FALSE,"IslBryVas2"
"NIB5 × DNSS",161.527372272202,163.502431636312,1.97505936411002,0.0249406358900011,0.874515074153347,FALSE,"IslBry2"
"NIB5 × pHadj",159.170982729926,156.14630910063,-3.02467362929602,5.02467362929601,0.0249886346398666,TRUE,"IslVas2"
