"Interaction","AIC_base","AIC_interaction","Delta_AIC","Chi_sq","p_value","Significant","Response"
"NIB5 × pHadj",202.208494080828,198.868424580691,-3.3400695001371,5.34006950013715,0.02084064217066,TRUE,"IslBryVas2"
"NIB5 × pHadj",159.170982729926,156.14630910063,-3.02467362929602,5.02467362929601,0.0249886346398666,TRUE,"IslVas2"
