Locality,PCo1,PCo2
KKL_A_SP6,-0.46071645938470257,-0.21436694496257908
KKL_A_HM8,-0.3070469952173136,-0.10059273378113774
DVR_A_SP6,-0.5064478016002335,-0.24761804804238274
DVR_A_SP3,-0.19056349260275438,-0.02142167757172364
STR_A_SP2,-0.10346362591465755,0.03833903445765907
STR_A_HM2,-0.1512735765166429,0.08783346707819213
SVD_A_SP5,0.05167319603857681,-0.20901934666720162
SVD_A_HM8,-0.04486296582371221,0.05321436004527339
HVZ_A_SP4,-0.4785902137410401,-0.24299081139472947
HVZ_A_HM3,0.09801813196846149,-0.12961445670024316
HLN_A_HM3,-0.5384417743484097,-0.26129241807654024
HLN_A_SP2,-0.5376377283003761,-0.27018011538715525
ZMK_A_SP7,-0.5183930983794163,-0.27802054691256745
ZMK_A_HM8,0.04496820821726766,-0.3037226822301939
VRJ_A_SP4,0.19841059973253525,0.13530497189028504
VRJ_A_HM3,0.3156806829990195,-0.25465428398782286
ZMB_A_SP5,0.035221272150859975,0.3927693269873317
ZMB_A_HM3,0.08592716124635985,-0.2593751274855941
HRD_A_SP4,0.0844391074896341,-0.22906428021985126
HRD_A_SP3,0.04768742785541217,-0.16006501270783896
BRK_A_SP3,-0.1376643166023024,0.08648646556789877
BRK_A_SP4,-0.1090883085411388,0.3118185984801809
PRZ_A_SP3,0.18225507944861427,0.35248708294300757
PRZ_A_HM3,0.21834390355001504,0.17699519315608156
HRC_A_HM2,-0.3677944120135376,0.23543405361849193
HRC_A_SP3,-0.29398742391430116,0.23973980476270354
CHV_A_SP4,0.08814594484021666,0.24702257490480348
CHV_A_HM2,0.1968790009933162,-0.2654348142593494
OKL_A_SP5,0.01907997248962366,0.20893172898825604
OKL_A_HM2,0.11578861062977837,-0.2529753562516756
KLS_A_SP4,0.3087397283312079,0.013018949639534667
KLS_A_HM6,0.31880119709963367,-0.09055964220630643
ZHJ_A_SP6,-1.4069357190447682e-4,0.25349166561029524
ZHJ_A_SP2,0.18961010397714337,0.09963388761407593
BZN_A_SP2,0.3264416969252547,-0.18717177863536874
BZN_A_HM2,0.3685996484169399,-0.22060120002349154
VLS_A_SP5,0.01627002535485708,0.49704990621598133
VLS_A_HM5,0.35153553256910225,-0.18265450952607132
NSV_A_SP2,0.13692134848245321,-0.32700977950311866
NSV_A_HM2,0.17221355414161835,-0.3534038781415982
BBN_A_SP2,-0.17774717408888008,-0.09994270938350813
BBN_A_SP5,-0.33705410949834796,0.2141499572592402
RTR_A_SP4,-0.1637598431121408,0.26723931140659324
RTR_A_HM7,0.1754368365429678,0.3111003930460814
LVJ_A_SP3,-0.4562111687721508,-0.2618494230290604
LVJ_A_SP2,0.4029828555538331,-0.30597627110028264
PKV_A_SP3,-0.08219286499727661,0.10833540491848546
PKV_A_SP4,-0.23592566709043425,0.08790665288687712
KCD_A_SP3,0.2404788139943498,-0.020768105700033037
KCD_A_SP7,0.33506468953707197,-0.17106861276074353
NVS_A_SP5,-0.227191804126032,0.3076685394052403
NVS_A_HM7,-0.31193107703608597,0.2144267218891526
LCL_A_SP6,0.10658939177082849,0.4446816039874221
LCL_A_HM6,0.24451108293906623,0.2611820085372587
BHN_A_SP5,0.1530180435566513,0.3335392546059593
BHN_A_HM6,0.11239434519317999,0.4132402478554965
SFR_A_SP4,0.20565104010278973,-0.028050331019148455
SFR_A_HM6,0.25070265443813505,0.1359644134741635
ZLM_A_SP2,0.31753924155119506,-0.27054523209660025
ZLM_A_HM3,0.22210646506582274,-0.3089954514681066
