Species,PCo1,PCo2,Specializatio_by_words,Specialization_Level
FalIns,0.2404788139943498,-0.020768105700033037,Wetland_specialist,Wetland_specialist
FalVit,0.10564674551661844,0.3181410515008358,Wetland_specialist,Wetland_specialist
FraBic,-0.46071645938470257,-0.21436694496257905,Wetland_specialist,Wetland_specialist
FraVir,0.24451108293906623,0.2611820085372587,Wetland_specialist,Wetland_specialist
GomGra,0.09533124958577224,-0.15845016131921005,Wetland_specialist,Wetland_specialist
HalMon,0.20565104010278973,-0.028050331019148455,Wetland_specialist,Wetland_specialist
ChaHas,0.022111618744278697,0.2494234000168949,Wetland_specialist,Wetland_specialist
ChaMed,-0.06004480715125992,0.18389849862645347,Wetland_specialist,Wetland_specialist
ChaSoe,0.22228438116040986,-0.11524549448741261,Wetland_specialist,Wetland_specialist
KobSub,0.0503977047064837,0.18903690681251367,Wetland_specialist,Wetland_specialist
NitAci,0.25131773128133794,-0.03361108581327197,Wetland_specialist,Wetland_specialist
NitAlp,0.14769616165318958,-0.21509707061255248,Wetland_specialist,Wetland_specialist
NitFru,0.2751945015454735,-0.11743725538199573,Wetland_specialist,Wetland_specialist
NitNan,0.18224921857969834,-0.0058600956272262935,Wetland_specialist,Wetland_specialist
NitPls,0.10658939177082849,0.4446816039874221,Wetland_specialist,Wetland_specialist
NupPen,0.2076645600510182,0.2288502768134784,Wetland_specialist,Wetland_specialist
NupSil,0.16206784619950995,-0.12065195628909546,Wetland_specialist,Wetland_specialist
PinBre,-0.0503537894108439,-0.12686571938782254,Wetland_specialist,Wetland_specialist
PinDec,0.11767318827695922,-0.08110491358905739,Wetland_specialist,Wetland_specialist
PinDvt,0.101627266722392,-0.07954142868250706,Wetland_specialist,Wetland_specialist
PinEif,0.2042540464127182,-0.166663338273176,Wetland_specialist,Wetland_specialist
PinFre,0.17221355414161835,-0.3534038781415982,Wetland_specialist,Wetland_specialist
PinGig,0.17221355414161835,-0.3534038781415982,Wetland_specialist,Wetland_specialist
PinLeg,0.20565104010278973,-0.028050331019148455,Wetland_specialist,Wetland_specialist
PinLok,0.18961010397714337,0.09963388761407593,Wetland_specialist,Wetland_specialist
PinMac,-0.013803304570394248,-0.07414975631813783,Wetland_specialist,Wetland_specialist
PinMar,0.17221355414161835,-0.3534038781415982,Wetland_specialist,Wetland_specialist
PinMic,0.04390529984803955,0.004243873799496409,Wetland_specialist,Wetland_specialist
PinElo,-0.010537276432878662,-0.11985046824920581,Wetland_specialist,Wetland_specialist
PinNeo,-0.0771448132075732,-0.011294972304358226,Wetland_specialist,Wetland_specialist
PinCun,0.035221272150859975,0.3927693269873317,Wetland_specialist,Wetland_specialist
PinNob,0.08592716124635985,-0.2593751274855941,Wetland_specialist,Wetland_specialist
PinNod,0.20262165810668054,0.020126883084345484,Wetland_specialist,Wetland_specialist
PinRup,0.2883272968570644,-0.07709560900330059,Wetland_specialist,Wetland_specialist
PinStr,0.22457519272873627,0.21870168482573785,Wetland_specialist,Wetland_specialist
PinSgb,0.09532751247290334,-0.11102194407017511,Wetland_specialist,Wetland_specialist
PinSrp,0.10380052066557917,-0.2095622911499678,Wetland_specialist,Wetland_specialist
PinTra,-0.12502154772055474,0.011532377694086075,Wetland_specialist,Wetland_specialist
PinVrf,0.03571084596966163,-0.09665516842912703,Wetland_specialist,Wetland_specialist
PinVrd,0.12823462979378836,-0.08978676501821149,Wetland_specialist,Wetland_specialist
PinPer,0.12617226103143603,-0.05913223294642516,Wetland_specialist,Wetland_specialist
PinSil,0.2281768472704624,0.05395704122750752,Wetland_specialist,Wetland_specialist
PsaAci,0.1292747549834969,-0.3230278151406371,Wetland_specialist,Wetland_specialist
StaAnc,-0.013296467717837093,-0.05710742017120307,Wetland_specialist,Wetland_specialist
StaGra,-0.1637598431121408,0.26723931140659324,Wetland_specialist,Wetland_specialist
StaKri,0.04027069916473589,-0.07835821855704603,Wetland_specialist,Wetland_specialist
StaPho,0.1558090564392003,0.017565926271823937,Wetland_specialist,Wetland_specialist
StaSmi,0.22210646506582274,-0.3089954514681066,Wetland_specialist,Wetland_specialist
StaThe,0.25070265443813505,0.1359644134741635,Wetland_specialist,Wetland_specialist
TabFlo,-0.03105991517156669,-0.10443281544441686,Wetland_specialist,Wetland_specialist
TabVen,-0.46071645938470257,-0.21436694496257908,Wetland_specialist,Wetland_specialist
TryHun,0.2160363356659878,-0.041254980499294214,Wetland_specialist,Wetland_specialist
AulAmb,0.20841714835120353,-0.10076950626464559,Wetland_tolerant,Wetland_tolerant
AulIta,-0.227191804126032,0.3076685394052403,Wetland_tolerant,Wetland_tolerant
CalBac,0.19582516773796513,0.09098272051527166,Wetland_tolerant,Wetland_tolerant
CymAsp,0.23371248367481684,-0.10862096413578995,Wetland_tolerant,Wetland_tolerant
DenKue,0.29015251391539065,-0.25517882215424187,Wetland_tolerant,Wetland_tolerant
DiaEhr,-0.5183930983794163,-0.27802054691256745,Wetland_tolerant,Wetland_tolerant
EnnMin,0.12930367569036802,-0.25505193258628794,Wetland_tolerant,Wetland_tolerant
EncPrp,0.25160547428448926,-0.15936502596911137,Wetland_tolerant,Wetland_tolerant
EncSil,0.2139436958510707,-0.10549233801533556,Wetland_tolerant,Wetland_tolerant
EncVen,0.07693798654118857,-0.05127699441873469,Wetland_tolerant,Wetland_tolerant
EncLan,0.21355765175922864,-0.04429152516417897,Wetland_tolerant,Wetland_tolerant
FruVul,0.24451108293906623,0.2611820085372587,Wetland_tolerant,Wetland_tolerant
GomAci,0.3685996484169399,-0.22060120002349154,Wetland_tolerant,Wetland_tolerant
GomAcu,0.1724654849583859,-0.25566825590836423,Wetland_tolerant,Wetland_tolerant
GomAng,0.08595895173707144,-0.11130237179058959,Wetland_tolerant,Wetland_tolerant
GomBoz,0.17221355414161835,-0.3534038781415982,Wetland_tolerant,Wetland_tolerant
GomCla,0.08241271325967375,-0.16966726339847985,Wetland_tolerant,Wetland_tolerant
GomExi,0.22365773376659717,-0.18587263615322247,Wetland_tolerant,Wetland_tolerant
GomHeb,0.22529347605126232,0.04190598830973032,Wetland_tolerant,Wetland_tolerant
GomMic,-0.03793952113602762,-0.13652294391200445,Wetland_tolerant,Wetland_tolerant
GomMin,0.22744872391485302,-0.04016525099540779,Wetland_tolerant,Wetland_tolerant
GomPar,0.22028806831688363,-0.20286490215586966,Wetland_tolerant,Wetland_tolerant
GomPse,0.21748855669914405,-0.20809981925833118,Wetland_tolerant,Wetland_tolerant
GomSub,0.16854685297316666,-0.1436671752278171,Wetland_tolerant,Wetland_tolerant
GomVar,0.22840181305306204,-0.2345430897439284,Wetland_tolerant,Wetland_tolerant
MerCir,0.35153553256910225,-0.18265450952607132,Wetland_tolerant,Wetland_tolerant
MerCon,0.1991174818877548,-0.23441977293546365,Wetland_tolerant,Wetland_tolerant
NanCat,0.11578861062977837,-0.2529753562516756,Wetland_tolerant,Wetland_tolerant
NavAng,0.0980181319684615,-0.12961445670024316,Wetland_tolerant,Wetland_tolerant
NavExi,0.17221355414161835,-0.3534038781415982,Wetland_tolerant,Wetland_tolerant
NavNot,0.28129394032728067,-0.22520864573483074,Wetland_tolerant,Wetland_tolerant
NitAmp,0.21423711086043948,-0.16259975610017566,Wetland_tolerant,Wetland_tolerant
NitCla,0.24996919390762387,-0.002588020092407184,Wetland_tolerant,Wetland_tolerant
NitFon,0.13309719460127317,-0.10493086314079378,Wetland_tolerant,Wetland_tolerant
NitLin,0.32932418885415177,-0.15027722876086366,Wetland_tolerant,Wetland_tolerant
NitMic,0.19096439045218436,-0.3060619119092899,Wetland_tolerant,Wetland_tolerant
NitPla,0.1149582653876273,0.11027670604873299,Wetland_tolerant,Wetland_tolerant
NitPlc,0.22210646506582274,-0.3089954514681066,Wetland_tolerant,Wetland_tolerant
NitRec,0.16157342925968796,-0.1736896074692681,Wetland_tolerant,Wetland_tolerant
PinObs,0.15911858282468216,0.1672213475658958,Wetland_tolerant,Wetland_tolerant
PlaAbi,0.2526965723915661,-0.2609266773535653,Wetland_tolerant,Wetland_tolerant
PlaElg,0.18390649601912992,0.13208642850960894,Wetland_tolerant,Wetland_tolerant
PlaCun,0.2606833599379568,-0.13505646821181844,Wetland_tolerant,Wetland_tolerant
RhoRup,0.1502630506998796,-0.13355045370079,Wetland_tolerant,Wetland_tolerant
RosPet,0.22506408251100554,-0.0564133757350276,Wetland_tolerant,Wetland_tolerant
SelAto,0.18183547113784343,-0.0814191315965883,Wetland_tolerant,Wetland_tolerant
SelBac,0.10010286511560813,-0.0998268265468399,Wetland_tolerant,Wetland_tolerant
SelNig,0.23128525641417952,-0.12749672912885185,Wetland_tolerant,Wetland_tolerant
SelPse,0.35153553256910225,-0.18265450952607132,Wetland_tolerant,Wetland_tolerant
SelPup,0.14353189595392027,-0.033032044545314464,Wetland_tolerant,Wetland_tolerant
SelRec,0.27840573214060965,-0.08947154765144648,Wetland_tolerant,Wetland_tolerant
SelSau,0.19943795548034252,-0.12654900210714148,Wetland_tolerant,Wetland_tolerant
SelVen,0.035221272150859975,0.3927693269873317,Wetland_tolerant,Wetland_tolerant
SelVit,0.22210646506582274,-0.3089954514681066,Wetland_tolerant,Wetland_tolerant
StaCon,-0.48955477888205945,-0.24619374593757326,Wetland_tolerant,Wetland_tolerant
StaVen,-0.013921443042021914,-0.22002432150266207,Wetland_tolerant,Wetland_tolerant
StaBer,0.04768742785541217,-0.16006501270783896,Wetland_tolerant,Wetland_tolerant
StaPin,-0.09862447446636945,-0.17180244489433397,Wetland_tolerant,Wetland_tolerant
SurAng,0.17890319791118156,0.12076633478889282,Wetland_tolerant,Wetland_tolerant
AchCal,0.169793412293462,-0.19835457678483912,Generalist,Generalist
AchLin,0.2470795255246495,-0.03555934303903172,Generalist,Generalist
AchMin,0.19211091856221457,-0.23050291311570623,Generalist,Generalist
AmpCop,0.06606326767252313,-0.1945646464638451,Generalist,Generalist
AstFor,0.12012610854514101,-0.18518686447011362,Generalist,Generalist
AulGra,0.09260576145500371,-0.092325060066861,Generalist,Generalist
AulMuz,0.06282047241068002,-0.1884764758010205,Generalist,Generalist
CalAer,0.1229462310248829,-0.19693377147926078,Generalist,Generalist
CocPla,0.06065839022027295,0.14059042776445987,Generalist,Generalist
CycDub,0.11776002827077496,-0.05439068658791335,Generalist,Generalist
DisSte,0.0733039080447981,-0.14380796331756118,Generalist,Generalist
FraCap,0.28733017986716064,0.09573996927210936,Generalist,Generalist
FraDel,0.07098884376227847,-0.19767531344177672,Generalist,Generalist
FraGra,0.05910657998663996,-0.3092428151092388,Generalist,Generalist
FraNan,0.1968790009933162,-0.2654348142593494,Generalist,Generalist
FraTen,0.20518597278525186,-0.23723907176602652,Generalist,Generalist
