Locality,PCo1,PCo2
KKL_A_SP6,0.009329945425446778,-0.256197702577364
KKL_A_HM8,-0.03731552553269709,-0.16324543327530527
DVR_A_SP6,-0.15675250277518327,-0.016109424956403464
DVR_A_SP3,-0.3151243444993767,-0.12257348512272678
STR_A_SP2,-0.3293697786560374,-0.25467263194566864
STR_A_HM2,-0.3327293683428757,-0.10348139098448632
SVD_A_SP5,-0.09572428981230635,-0.2116384722684026
SVD_A_HM8,-0.05574744512571158,-0.15163709077499168
HVZ_A_SP4,-0.13568430317200764,-0.030947162178592683
HVZ_A_HM3,0.11569428950258995,-0.07916012142291891
HLN_A_HM3,-0.32936639293339304,-0.2997224564789414
HLN_A_SP2,-0.3293663929333931,-0.2997224564789414
ZMK_A_SP7,-0.09463212088783503,-0.2960505198573258
ZMK_A_HM8,0.059649657812967084,-0.2202402877371848
VRJ_A_SP4,0.07429287205874165,-0.021029395238151748
VRJ_A_HM3,0.22802355820499454,0.01964683978968496
ZMB_A_SP5,6.164700534687862e-4,0.01976727938149936
ZMB_A_HM3,0.24867465222195248,-0.10911804077930007
HRD_A_SP4,0.20208408504960237,-0.08856822704093137
HRD_A_SP3,0.14800071898290368,-0.030765869023906912
BRK_A_SP3,-0.17842026133914812,-0.10329694371288649
BRK_A_SP4,-0.3179149159636415,-0.06390410734248402
PRZ_A_SP3,0.004033708666294065,0.09134092279899769
PRZ_A_HM3,-0.034793945285965744,-0.040857459988550296
HRC_A_HM2,-0.25956338453990035,0.028442615497833702
HRC_A_SP3,-0.311515495715098,-0.07171018906374096
CHV_A_SP4,0.20359748264370914,0.11498089753615753
CHV_A_HM2,0.23467331111407458,-0.16363034291072875
OKL_A_SP5,-0.02560848189090176,0.3323541278193552
OKL_A_HM2,0.3022377835897854,-0.1122559295812963
KLS_A_SP4,0.23234014762303506,0.08077212350489257
KLS_A_HM6,0.19853723258039743,0.07580381462740633
ZHJ_A_SP6,-0.20691362645676603,0.431712341862342
ZHJ_A_SP2,-0.0134151688487108,0.16786673091328072
BZN_A_SP2,0.26778669807176986,0.0603371269682888
BZN_A_HM2,0.22140065257746305,0.12947727515140878
VLS_A_SP5,-0.2278050800032334,0.48798151373333026
VLS_A_HM5,0.28887186771075274,-0.02696937976885333
NSV_A_SP2,0.3078453236342364,-0.1473861881913816
NSV_A_HM2,0.3090312702688713,-0.061020079979571304
BBN_A_SP2,-0.32735460246887105,-0.24124020833167611
BBN_A_SP5,-0.27348968482087693,-0.029929148386380278
RTR_A_SP4,-0.29432457398801054,0.2660830885720611
RTR_A_HM7,-0.1411513352809506,0.1402869104182923
LVJ_A_SP3,-0.02798281597305149,0.16298990440221228
LVJ_A_SP2,0.3178793882117866,-0.0855339113635312
PKV_A_SP3,-0.0832015245617865,-0.0232329528414471
PKV_A_SP4,-0.2241220990883798,-0.06975303981887533
KCD_A_SP3,0.20838489128573165,-0.10289768942593962
KCD_A_SP7,0.11547665549775343,0.09593223318600305
NVS_A_SP5,0.026695507131301414,0.1210422182009296
NVS_A_HM7,-0.1963793949516751,0.3917958087405877
LCL_A_SP6,0.03796443024583506,0.2093127519892326
LCL_A_HM6,0.1941691465683856,0.08207410162451603
BHN_A_SP5,0.1499082332093659,0.17363851029461713
BHN_A_HM6,-0.2177201904813899,0.43035307209146806
SFR_A_SP4,0.13982397634749041,0.009596526290289628
SFR_A_HM6,0.2710436477276526,0.06608487798039042
ZLM_A_SP2,0.20311708846584633,-0.04544037073005871
ZLM_A_HM3,0.2523043538449685,-0.04573550379613324
