Species,PCo1,PCo2,Specializatio_by_words,Specialization_Level
BraBre,0.03702445466516214,-0.0460404667966286,Fen_specialist,Fen_specialist
BraNeo,0.09118862845897699,-0.0663096110755792,Fen_specialist,Fen_specialist
BraOca,0.059649657812967084,-0.2202402877371848,Fen_specialist,Fen_specialist
BraSer,-0.23593842363728,-0.06934145503956513,Fen_specialist,Fen_specialist
BraSty,0.009329945425446778,-0.256197702577364,Fen_specialist,Fen_specialist
BraVit,0.23467331111407458,-0.16363034291072875,Fen_specialist,Fen_specialist
DecPla,0.17147053240666837,-0.01792192221988454,Fen_specialist,Fen_specialist
DiaBal,0.28887186771075274,-0.02696937976885333,Fen_specialist,Fen_specialist
EncCes,0.2261740551931834,-0.04664672716333515,Fen_specialist,Fen_specialist
EncMic,0.22802355820499454,0.01964683978968496,Fen_specialist,Fen_specialist
EnsMin,0.14800071898290368,-0.030765869023906912,Fen_specialist,Fen_specialist
EunArc,0.19812901461507812,-0.04859785680218709,Fen_specialist,Fen_specialist
EunBil,0.05475165272384796,-0.06000501939652323,Fen_specialist,Fen_specialist
EunExi,-0.09025633601252471,-0.11404747112482615,Fen_specialist,Fen_specialist
EunFle,0.21543869010171623,0.07828796906614946,Fen_specialist,Fen_specialist
EunGlf,-0.05970007630169831,0.013737512052198992,Fen_specialist,Fen_specialist
EunGla,0.007395070236616995,-0.12231542543704721,Fen_specialist,Fen_specialist
EunInc,0.03335335432378969,0.07520277872658501,Fen_specialist,Fen_specialist
EunPal,-0.0904996099377362,-0.054268446946500425,Fen_specialist,Fen_specialist
EunUrs,-0.1569409213254415,-0.16797997015850177,Fen_specialist,Fen_specialist
EunVal,0.057298432229914306,-0.05714205375425875,Fen_specialist,Fen_specialist
FruCra,-0.08321931997372306,-0.0873036124240359,Fen_specialist,Fen_specialist
FruSax,-0.1515931960574867,-0.11485847183762478,Fen_specialist,Fen_specialist
IcoCur,-0.020384365736202125,-0.07871677754768401,Fen_specialist,Fen_specialist
IcoDel,-0.0832015245617865,-0.0232329528414471,Fen_specialist,Fen_specialist
NeiAff,-0.3151243444993767,-0.12257348512272678,Fen_specialist,Fen_specialist
NeiBis,0.05310941914518872,-0.035019471306372216,Fen_specialist,Fen_specialist
PinAcr,0.26997977012069635,-0.062302881069574635,Fen_specialist,Fen_specialist
PinBic,0.028311225892851954,-0.006818213275578736,Fen_specialist,Fen_specialist
PinDiv,0.04562392486042117,-0.07430476491584631,Fen_specialist,Fen_specialist
PinGib,0.21657226659648948,-0.0038736175638779745,Fen_specialist,Fen_specialist
PinSin,0.09901833807019869,0.05612822585946664,Fen_specialist,Fen_specialist
PinSto,0.22495401027318174,-0.02074213852671747,Fen_specialist,Fen_specialist
PinSct,-0.10552792357093295,-0.05552558184813225,Fen_specialist,Fen_specialist
SelTri,0.2873844330093969,-0.024380143789919734,Fen_specialist,Fen_specialist
StaExi,0.1759507348075957,-0.1497729917067827,Fen_specialist,Fen_specialist
AdlBry,0.14852254052319655,0.008324379748661001,Wetland_specialist,Wetland_specialist
AdlPar,0.20311708846584633,-0.04544037073005871,Wetland_specialist,Wetland_specialist
AulAlp,0.1514271268216271,-0.04624432509989847,Wetland_specialist,Wetland_specialist
AulNiv,0.23770180255497617,-0.012191508436872082,Wetland_specialist,Wetland_specialist
AulPus,0.06731594336706753,0.012095959411041331,Wetland_specialist,Wetland_specialist
AulTen,0.010554692568572258,-0.21322780786328469,Wetland_specialist,Wetland_specialist
AulVal,0.18061231446247672,0.0695369007208492,Wetland_specialist,Wetland_specialist
CalSil,0.24205558060656382,-0.035153379617237496,Wetland_specialist,Wetland_specialist
CalTen,0.21292683653341382,0.008985010824375599,Wetland_specialist,Wetland_specialist
CalUnd,0.08657984675051673,-0.019692265760405395,Wetland_specialist,Wetland_specialist
CavCoc,-0.13568430317200764,-0.030947162178592683,Wetland_specialist,Wetland_specialist
CavLap,-0.034793945285965744,-0.040857459988550296,Wetland_specialist,Wetland_specialist
CavVar,0.26521596142316717,0.03422859758591874,Wetland_specialist,Wetland_specialist
CtePul,0.14800071898290368,-0.030765869023906912,Wetland_specialist,Wetland_specialist
CymNav,0.15886939649344892,-0.003268500498860299,Wetland_specialist,Wetland_specialist
CymSub,0.2184966540223395,-0.07775019578860962,Wetland_specialist,Wetland_specialist
DipEll,0.20611477168595949,-0.033435856019374835,Wetland_specialist,Wetland_specialist
DipKra,0.3178793882117866,-0.0855339113635312,Wetland_specialist,Wetland_specialist
DipObl,0.2256251379494685,-0.022400867856298454,Wetland_specialist,Wetland_specialist
DipOcu,0.23590175070961486,-0.02128601825999361,Wetland_specialist,Wetland_specialist
DipOva,0.21703528915846163,-0.017109603502366347,Wetland_specialist,Wetland_specialist
DipPar,0.18114669328869265,0.032445662488247255,Wetland_specialist,Wetland_specialist
DipSub,0.25870808077730145,-0.08195888470275546,Wetland_specialist,Wetland_specialist
EncLun,0.15138348071661675,-0.06816039258390692,Wetland_specialist,Wetland_specialist
EncPrg,0.14725318519924807,-0.08972432580876193,Wetland_specialist,Wetland_specialist
EucFle,0.20838489128573165,-0.10289768942593962,Wetland_specialist,Wetland_specialist
EucLae,0.27885296124541187,-0.08506906037943568,Wetland_specialist,Wetland_specialist
EunBid,0.19853723258039743,0.07580381462740633,Wetland_specialist,Wetland_specialist
EunBot,-0.07451366433828517,-0.1970591261500904,Wetland_specialist,Wetland_specialist
EunFal,0.24867465222195248,-0.10911804077930007,Wetland_specialist,Wetland_specialist
EunImp,0.18812607155344477,-0.07273964510821151,Wetland_specialist,Wetland_specialist
EunMet,0.2710436477276526,0.06608487798039042,Wetland_specialist,Wetland_specialist
EunMic,-0.15915007658069505,0.06121409057969188,Wetland_specialist,Wetland_specialist
EunMin,0.1426505191289712,-0.060221626670065,Wetland_specialist,Wetland_specialist
